artifact_id,source_path,filename,repository_or_worktree,branch,commit_sha,date,configuration_or_revision,relevance,status,sha256,size_bytes,notes
LA-001,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy\work\short14_external_buoy\STINGRAY_I5S_DF8_SHORT14_FORWARD_POWERTRAIN_EXTERNAL_BUOY_STOWED_AP242.step,STINGRAY_I5S_DF8_SHORT14_FORWARD_POWERTRAIN_EXTERNAL_BUOY_STOWED_AP242.step,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy,design/df8-14in-short-forward-powertrain-external-buoy,aa186c9c1c311c510ac34e48bd4170ef7636b7bf,2026-08-25T16:05:28-05:00,STINGRAY_I5S_DF8_SHORT14_FORWARD_POWERTRAIN_EXTERNAL_BUOY,Controlling current-developmental STOWED AP242,CURRENT DEVELOPMENTAL,87a6d6f2f234fe955ef6a87aa9f7ac242d28ee10e23b9b60aca94e90e68a02c0,9071324,Exact BREP; clean OCP/XCAF reimport passed.
LA-002,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy\work\short14_external_buoy\STINGRAY_I5S_DF8_SHORT14_FORWARD_POWERTRAIN_EXTERNAL_BUOY_DEPLOYED_AP242.step,STINGRAY_I5S_DF8_SHORT14_FORWARD_POWERTRAIN_EXTERNAL_BUOY_DEPLOYED_AP242.step,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy,design/df8-14in-short-forward-powertrain-external-buoy,aa186c9c1c311c510ac34e48bd4170ef7636b7bf,2026-08-25T16:05:28-05:00,STINGRAY_I5S_DF8_SHORT14_FORWARD_POWERTRAIN_EXTERNAL_BUOY,Controlling current-developmental DEPLOYED AP242,CURRENT DEVELOPMENTAL,fbb716986ce6913715a78468b29fec8ae0a1eb45f64b9a6f825407655d68d1de,10575841,Exact BREP; clean OCP/XCAF reimport passed.
LA-003,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy\work\short14_external_buoy\STINGRAY_I5S_DF8_SHORT14_FORWARD_POWERTRAIN_EXTERNAL_BUOY_INSPECTION.zip,STINGRAY_I5S_DF8_SHORT14_FORWARD_POWERTRAIN_EXTERNAL_BUOY_INSPECTION.zip,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy,design/df8-14in-short-forward-powertrain-external-buoy,aa186c9c1c311c510ac34e48bd4170ef7636b7bf,2026-08-25T16:05:28-05:00,STINGRAY_I5S_DF8_SHORT14_FORWARD_POWERTRAIN_EXTERNAL_BUOY,Owner Creo inspection package for newest local CAD,CURRENT DEVELOPMENTAL,4d124b4bb410689071545a41c9c17c31e9393eadbf41ae6a800c5cd458b52a6c,6625392,"ZIP CRC verified by source workflow; developmental, not release."
LA-004,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy\work\short14_external_buoy\VALIDATION_SUMMARY.md,VALIDATION_SUMMARY.md,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy,design/df8-14in-short-forward-powertrain-external-buoy,aa186c9c1c311c510ac34e48bd4170ef7636b7bf,2026-08-25T16:05:28-05:00,STINGRAY_I5S_DF8_SHORT14_FORWARD_POWERTRAIN_EXTERNAL_BUOY,Human-readable gate disposition for newest local CAD,CURRENT DEVELOPMENTAL,f03ffa0db764c539355461e3881ddadcf23debd0fc7dd1cfc5617f13777dc016,1842,CAD gates pass; physical and owner gates remain open.
LA-005,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy\work\short14_external_buoy\VALIDATION_SUMMARY.json,VALIDATION_SUMMARY.json,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy,design/df8-14in-short-forward-powertrain-external-buoy,aa186c9c1c311c510ac34e48bd4170ef7636b7bf,2026-08-25T16:05:28-05:00,STINGRAY_I5S_DF8_SHORT14_FORWARD_POWERTRAIN_EXTERNAL_BUOY,Machine-readable gate disposition for newest local CAD,CURRENT DEVELOPMENTAL,f0dc66e64bed05e1f8b69c6d2a0fe2adf8e472d0910324f9b40e55b55ece5a78,42876,Do not interpret CAD PASS as physical qualification.
LA-006,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy\work\short14_external_buoy\SHORT14_FORWARD_POWERTRAIN_DESIGN_REPORT.md,SHORT14_FORWARD_POWERTRAIN_DESIGN_REPORT.md,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy,design/df8-14in-short-forward-powertrain-external-buoy,aa186c9c1c311c510ac34e48bd4170ef7636b7bf,2026-08-25T16:05:28-05:00,STINGRAY_I5S_DF8_SHORT14_FORWARD_POWERTRAIN_EXTERNAL_BUOY,Architecture/provenance report for newest local CAD,CURRENT DEVELOPMENTAL,d4c2977c8a65f0c23cdc1f065f1fbbdb9a554d3bb05f2ac94e09a72c5279a1df,5960,Maps SHORT14_FORWARD shorthand to exact true-forward-powertrain configuration.
LA-007,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy\work\short14_external_buoy\SHORT_ARM_MISSION_ENVELOPE_COMPARISON.md,SHORT_ARM_MISSION_ENVELOPE_COMPARISON.md,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy,design/df8-14in-short-forward-powertrain-external-buoy,aa186c9c1c311c510ac34e48bd4170ef7636b7bf,2026-08-25T16:05:28-05:00,STINGRAY_I5S_DF8_SHORT14_FORWARD_POWERTRAIN_EXTERNAL_BUOY,Full-length versus short-arm mission-envelope comparison,CURRENT DEVELOPMENTAL,00dae303d546db7700f41b255102003ef3dbdc320cedb846b9f0a47aec2c313f,1154,Physical fabric engagement remains unverified.
LA-008,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy\work\short14_external_buoy\FINAL_MASS_CG_INERTIA.json,FINAL_MASS_CG_INERTIA.json,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy,design/df8-14in-short-forward-powertrain-external-buoy,aa186c9c1c311c510ac34e48bd4170ef7636b7bf,2026-08-25T16:05:28-05:00,STINGRAY_I5S_DF8_SHORT14_FORWARD_POWERTRAIN_EXTERNAL_BUOY,Exact occurrence mass/CG/inertia evidence,CURRENT DEVELOPMENTAL,db66a650e12348c66d7719b4d4800462ea30cb340a9c7af011e691849e43e9e8,105204,10.583165211 kg ready-to-throw; fall/orientation equivalence separate.
LA-009,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy\work\short14_external_buoy\FINAL_MOTION_AUDIT_SUMMARY.csv,FINAL_MOTION_AUDIT_SUMMARY.csv,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy,design/df8-14in-short-forward-powertrain-external-buoy,aa186c9c1c311c510ac34e48bd4170ef7636b7bf,2026-08-25T16:05:28-05:00,STINGRAY_I5S_DF8_SHORT14_FORWARD_POWERTRAIN_EXTERNAL_BUOY,Motion gate register for newest local CAD,CURRENT DEVELOPMENTAL,2c24d62443387b488ecb122c9a3eac63eaf0a536108568265133a094bbcea8e0,2989,Five-angle plus one complete 0-80 degree sweep.
LA-010,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy\work\short14_external_buoy\validation\full_motion_sweep_1\full_motion_exact_boolean_summary.json,full_motion_exact_boolean_summary.json,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy,design/df8-14in-short-forward-powertrain-external-buoy,aa186c9c1c311c510ac34e48bd4170ef7636b7bf,2026-08-25T16:05:28-05:00,STINGRAY_I5S_DF8_SHORT14_FORWARD_POWERTRAIN_EXTERNAL_BUOY,697167-pair exact Boolean sweep summary,CURRENT DEVELOPMENTAL,d87423e1bc7fba04935f37ff7b4842b52b7675de14ca5ff55860302cb9ba2863,21955,Zero unauthorized/blocked/track/fit errors.
