"manufacturer","cartridge_mpn","compatibility","cartridge_charge_g","cartridge_count","total_inventory_g","scenario","temp_C","depth_m","theoretical_required_g","design_required_g","qualification_required_g","design_status","qualification_status","max_grid_design_depth_m","max_grid_qualification_depth_m","total_water_capacity_ml","estimated_outer_envelope_ml","estimated_cartridge_mass","inflator_branches","reset_burden"
"Leland","85202Z","PUBLISHED CONFIGURATION SUPPORTED","33","1","33","warm","25","0","119.31","142.65","156.92","FAIL","FAIL","UNSUPPORTED_AT_0_M","UNSUPPORTED_AT_0_M","45","64.4","UNVERIFIED; total gross mass must be quoted","1","LOW"
"Leland","85202Z","PUBLISHED CONFIGURATION SUPPORTED","33","1","33","warm","25","3","151.88","181.60","199.76","FAIL","FAIL","UNSUPPORTED_AT_0_M","UNSUPPORTED_AT_0_M","45","64.4","UNVERIFIED; total gross mass must be quoted","1","LOW"
"Leland","85202Z","PUBLISHED CONFIGURATION SUPPORTED","33","1","33","warm","25","5","173.66","207.63","228.40","FAIL","FAIL","UNSUPPORTED_AT_0_M","UNSUPPORTED_AT_0_M","45","64.4","UNVERIFIED; total gross mass must be quoted","1","LOW"
"Leland","85202Z","PUBLISHED CONFIGURATION SUPPORTED","33","1","33","warm","25","7.5","200.95","240.26","264.29","FAIL","FAIL","UNSUPPORTED_AT_0_M","UNSUPPORTED_AT_0_M","45","64.4","UNVERIFIED; total gross mass must be quoted","1","LOW"
"Leland","85202Z","PUBLISHED CONFIGURATION SUPPORTED","33","1","33","warm","25","10","228.31","272.98","300.28","FAIL","FAIL","UNSUPPORTED_AT_0_M","UNSUPPORTED_AT_0_M","45","64.4","UNVERIFIED; total gross mass must be quoted","1","LOW"
"Leland","85202Z","PUBLISHED CONFIGURATION SUPPORTED","33","1","33","warm","25","15","283.28","338.70","372.57","FAIL","FAIL","UNSUPPORTED_AT_0_M","UNSUPPORTED_AT_0_M","45","64.4","UNVERIFIED; total gross mass must be quoted","1","LOW"
"Leland","85202Z","PUBLISHED CONFIGURATION SUPPORTED","33","1","33","nominal","15","0","123.53","167.13","183.85","FAIL","FAIL","UNSUPPORTED_AT_0_M","UNSUPPORTED_AT_0_M","45","64.4","UNVERIFIED; total gross mass must be quoted","1","LOW"
"Leland","85202Z","PUBLISHED CONFIGURATION SUPPORTED","33","1","33","nominal","15","3","157.29","212.80","234.08","FAIL","FAIL","UNSUPPORTED_AT_0_M","UNSUPPORTED_AT_0_M","45","64.4","UNVERIFIED; total gross mass must be quoted","1","LOW"
"Leland","85202Z","PUBLISHED CONFIGURATION SUPPORTED","33","1","33","nominal","15","5","179.86","243.34","267.67","FAIL","FAIL","UNSUPPORTED_AT_0_M","UNSUPPORTED_AT_0_M","45","64.4","UNVERIFIED; total gross mass must be quoted","1","LOW"
"Leland","85202Z","PUBLISHED CONFIGURATION SUPPORTED","33","1","33","nominal","15","7.5","208.16","281.62","309.78","FAIL","FAIL","UNSUPPORTED_AT_0_M","UNSUPPORTED_AT_0_M","45","64.4","UNVERIFIED; total gross mass must be quoted","1","LOW"
