scenario,temp_C,depth_m,buoy_abs_kPa,Z,theoretical_g,design_required_g,qualification_required_g,cartridges,inventory_g,design_status,qualification_status
warm,25,0,111.33,0.99390,119.31,142.65,156.92,2,140,FAIL,FAIL
warm,25,0,111.33,0.99390,119.31,142.65,156.92,3,210,PASS,PASS
warm,25,0,111.33,0.99390,119.31,142.65,156.92,4,280,PASS,PASS
warm,25,3,141.48,0.99224,151.88,181.60,199.76,2,140,FAIL,FAIL
warm,25,3,141.48,0.99224,151.88,181.60,199.76,3,210,PASS,PASS
warm,25,3,141.48,0.99224,151.88,181.60,199.76,4,280,PASS,PASS
warm,25,5,161.58,0.99113,173.66,207.63,228.40,2,140,FAIL,FAIL
warm,25,5,161.58,0.99113,173.66,207.63,228.40,3,210,PASS,FAIL
warm,25,5,161.58,0.99113,173.66,207.63,228.40,4,280,PASS,PASS
warm,25,7.5,186.71,0.98975,200.95,240.26,264.29,2,140,FAIL,FAIL
warm,25,7.5,186.71,0.98975,200.95,240.26,264.29,3,210,FAIL,FAIL
warm,25,7.5,186.71,0.98975,200.95,240.26,264.29,4,280,PASS,PASS
warm,25,10,211.84,0.98836,228.31,272.98,300.28,2,140,FAIL,FAIL
warm,25,10,211.84,0.98836,228.31,272.98,300.28,3,210,FAIL,FAIL
warm,25,10,211.84,0.98836,228.31,272.98,300.28,4,280,PASS,FAIL
warm,25,15,262.10,0.98558,283.28,338.70,372.57,2,140,FAIL,FAIL
warm,25,15,262.10,0.98558,283.28,338.70,372.57,3,210,FAIL,FAIL
warm,25,15,262.10,0.98558,283.28,338.70,372.57,4,280,FAIL,FAIL
nominal,15,0,111.33,0.99324,123.53,167.13,183.85,2,140,FAIL,FAIL
nominal,15,0,111.33,0.99324,123.53,167.13,183.85,3,210,PASS,PASS
nominal,15,0,111.33,0.99324,123.53,167.13,183.85,4,280,PASS,PASS
nominal,15,3,141.48,0.99140,157.29,212.80,234.08,2,140,FAIL,FAIL
nominal,15,3,141.48,0.99140,157.29,212.80,234.08,3,210,FAIL,FAIL
nominal,15,3,141.48,0.99140,157.29,212.80,234.08,4,280,PASS,PASS
nominal,15,5,161.58,0.99017,179.86,243.34,267.67,2,140,FAIL,FAIL
nominal,15,5,161.58,0.99017,179.86,243.34,267.67,3,210,FAIL,FAIL
nominal,15,5,161.58,0.99017,179.86,243.34,267.67,4,280,PASS,PASS
nominal,15,7.5,186.71,0.98863,208.16,281.62,309.78,2,140,FAIL,FAIL
nominal,15,7.5,186.71,0.98863,208.16,281.62,309.78,3,210,FAIL,FAIL
nominal,15,7.5,186.71,0.98863,208.16,281.62,309.78,4,280,FAIL,FAIL
nominal,15,10,211.84,0.98709,236.54,320.02,352.03,2,140,FAIL,FAIL
nominal,15,10,211.84,0.98709,236.54,320.02,352.03,3,210,FAIL,FAIL
nominal,15,10,211.84,0.98709,236.54,320.02,352.03,4,280,FAIL,FAIL
nominal,15,15,262.10,0.98400,293.58,397.19,436.91,2,140,FAIL,FAIL
nominal,15,15,262.10,0.98400,293.58,397.19,436.91,3,210,FAIL,FAIL
nominal,15,15,262.10,0.98400,293.58,397.19,436.91,4,280,FAIL,FAIL
cold,0,0,111.33,0.99207,130.47,208.75,229.63,2,140,FAIL,FAIL
cold,0,0,111.33,0.99207,130.47,208.75,229.63,3,210,PASS,FAIL
cold,0,0,111.33,0.99207,130.47,208.75,229.63,4,280,PASS,PASS
cold,0,3,141.48,0.98991,166.17,265.88,292.47,2,140,FAIL,FAIL
cold,0,3,141.48,0.98991,166.17,265.88,292.47,3,210,FAIL,FAIL
cold,0,3,141.48,0.98991,166.17,265.88,292.47,4,280,PASS,FAIL
cold,0,5,161.58,0.98847,190.06,304.10,334.51,2,140,FAIL,FAIL
cold,0,5,161.58,0.98847,190.06,304.10,334.51,3,210,FAIL,FAIL
cold,0,5,161.58,0.98847,190.06,304.10,334.51,4,280,FAIL,FAIL
cold,0,7.5,186.71,0.98666,220.02,352.04,387.24,2,140,FAIL,FAIL
cold,0,7.5,186.71,0.98666,220.02,352.04,387.24,3,210,FAIL,FAIL
cold,0,7.5,186.71,0.98666,220.02,352.04,387.24,4,280,FAIL,FAIL
cold,0,10,211.84,0.98485,250.10,400.15,440.17,2,140,FAIL,FAIL
cold,0,10,211.84,0.98485,250.10,400.15,440.17,3,210,FAIL,FAIL
cold,0,10,211.84,0.98485,250.10,400.15,440.17,4,280,FAIL,FAIL
cold,0,15,262.10,0.98122,310.58,496.92,546.61,2,140,FAIL,FAIL
cold,0,15,262.10,0.98122,310.58,496.92,546.61,3,210,FAIL,FAIL
cold,0,15,262.10,0.98122,310.58,496.92,546.61,4,280,FAIL,FAIL
