item_id,function,manufacturer,mpn_or_configuration,quantity,key_rating_or_interface,mass_kg,envelope,classification,procurement_quality_note
FPS-001,CO2 pressure vessel,eurocylinder systems AG,130522277,1,"1.00 L; 25E; 200 bar WP; 300 bar TP; EN ISO 9809-1; CE/Pi",1.700,"82.5 mm dia x 280 mm body","COTS pressure vessel","Order for CO2 service; request manufacturer CoC, serial, Pi/CE identity, hydro record and drawing revision"
FPS-002,CO2 charge,qualified gas fill station,"342 g net CO2 fill to controlled work instruction",1,"342 kg/m3 fill density; developed pressure below cylinder/valve limits",0.342,"inside FPS-001","commercial fill service","Certified fill mass, gas grade, gross/tare, date, station identity and leak acceptance"
FPS-003,cylinder valve,Leafield Marine,"D91-220 25E 250 bar configured variant; exact suffix drawing-controlled",1,"25E cylinder interface; >=250 bar MWP; PED",,"configured drawing required","COTS; ONE ENGINEERING INPUT","Exact part number, current controlled drawing, valve/body/diaphragm/penetrator configuration and CoC"
FPS-004,operating head,Leafield Marine,D912101,1,"GIS cutter head; 60-100 N family activation",,"configured drawing required",COTS,"CoC and current drawing; use only Leafield service instructions/tools"
FPS-005,water authorization,Leafield Marine,"GIS water-activated unit; exact suffix drawing-controlled",1,"passive immersion authorization",,"configured drawing required","COTS; ONE ENGINEERING INPUT","Exact part number, water element, service life, manual inhibit and installed envelope"
FPS-006,servo actuation,Leafield Marine,"GIS servo/adaptor/hose configured for one cylinder; exact suffix drawing-controlled",1,"published family supports up to four cylinders",,"configured drawing required","COTS; ONE ENGINEERING INPUT","Exact part numbers, interface drawing, pressure/actuation basis and reset parts"
FPS-007,HP transfer hose,Leafield Marine,"GIS hose assembly; length and ends per configured drawing",1,"rated for selected GIS valve/outlet; -55 to +100 C published hose family",,"routing length TBD",COTS,"Manufacturer-assembled hose, pressure rating, test/CoC, end fittings, lot and drawing"
FPS-008,fixed-jet gas inlet,Leafield Marine,B9116042.2,1,"G3/8 male; 2.2 mm jet; LR certificate family",,"softgood clamp interface",COTS,"Development starting jet only; release final jet after 0 C/5 m/10 s test"
FPS-009,differential relief,Leafield Marine,"B10 Yellow 1.75 psi",1,"nominal 1.75 psi; max open 2.13 psi; min seal 1.48 psi; -30 to +65 C",,"39.0-39.5 mm installation hole",COTS,"Request batch/setting identity and CoC; no plug installed in operation"
FPS-010,buoy pressure boundary,STINGRAY,"60 L custom marine softgood engineering article",1,"10 kPa provisional operating differential; must tolerate B10 full relief accumulation",,"existing STINGRAY packed envelope target","CUSTOM SOFTGOOD; NOT A PRESSURE VESSEL","PHYSICAL PRESSURE QUALIFICATION REQUIRED; controlled marine material and seams"
FPS-011,source restraint/interface,STINGRAY,"non-pressure cylinder cradle and guards",1,"recovery load path separate; no load through gas fittings",,"CAD pending",CUSTOM NON-PRESSURE,"No pressure-containing adapter/manifold; inspectable retention and recoil control"
