"part_number","description","manufacturer","series_or_configuration","authorized_distributor","distributor_sku","coc_availability_status","procurement_evidence_status","received_item_coc_status","access_date_utc","primary_url","secondary_url","retrieval_dates","evidence_support"
"SSCF-M3-6-A4","M3 X 6 FULL-THREAD SOCKET CAP SCREW, DIN 912 / ISO 4762","Accu","","","","COC AVAILABILITY NOT CONFIRMED","PROCUREMENT EVIDENCE NOT PRESENT","RECEIVED-ITEM COC NOT VERIFIED","2026-08-23T20:42:05Z","https://www.accu.co.uk/metric-cap-head-screws/3973-SSCF-M3-6-A4","","","source_bom_aggregate"
"SSCF-M3-10-A4","M3 X 10 FULL-THREAD SOCKET CAP SCREW, DIN 912 / ISO 4762","Accu","","","","COC AVAILABILITY NOT CONFIRMED","PROCUREMENT EVIDENCE NOT PRESENT","RECEIVED-ITEM COC NOT VERIFIED","2026-08-23T20:42:05Z","https://www.accu.co.uk/us/socket-cap-head-screws/3975-SSCF-M3-10-A4","","","source_bom_aggregate"
"SSK-M3-6-A4-P80","M3 X 6 SOCKET COUNTERSUNK SCREW, ISO 10642, PRECOTE 80","Accu","","","","COC AVAILABILITY NOT CONFIRMED","PROCUREMENT EVIDENCE NOT PRESENT","RECEIVED-ITEM COC NOT VERIFIED","2026-08-23T20:42:05Z","https://www.accu.co.uk/countersunk-socket-head-screws/795226-SSK-M3-6-A4-P80","","","source_bom_aggregate"
"SSCA-M3-8-A4-BL","M3 X 8 CAPTIVE SOCKET CAP SCREW, DIN 912","Accu","","","","COC AVAILABILITY NOT CONFIRMED","PROCUREMENT EVIDENCE NOT PRESENT","RECEIVED-ITEM COC NOT VERIFIED","2026-08-23T20:42:05Z","https://www.accu.co.uk/cap-head-captive-screws/779966-SSCA-M3-8-A4-BL","","","source_bom_aggregate"
"SSCL-M4-8-A4","M4 X 8 FULL-THREAD LOW-HEAD SOCKET CAP SCREW, DIN 7984","Accu","","","","COC AVAILABILITY NOT CONFIRMED","PROCUREMENT EVIDENCE NOT PRESENT","RECEIVED-ITEM COC NOT VERIFIED","2026-08-23T20:42:05Z","https://www.accu.co.uk/low-head-cap-screws/8885-SSCL-M4-8-A4","","","source_bom_aggregate"
"HDP-3-8-A1","3 MM X 8 MM DOWEL PIN, DIN 7, M6 TOLERANCE","Accu","","","","COC AVAILABILITY NOT CONFIRMED","PROCUREMENT EVIDENCE NOT PRESENT","RECEIVED-ITEM COC NOT VERIFIED","2026-08-23T20:42:05Z","https://www.accu.co.uk/dowel-pins/72653-HDP-3-8-A1","","","source_bom_aggregate"
"HTP-3-30-A1","3 MM X 30 MM TAPER PIN, DIN 1B","Accu","","","","COC AVAILABILITY NOT CONFIRMED","PROCUREMENT EVIDENCE NOT PRESENT","RECEIVED-ITEM COC NOT VERIFIED","2026-08-23T20:42:05Z","https://www.accu.co.uk/taper-pins/389498-HTP-3-30-A1","","","source_bom_aggregate"
"HEC-10-A4","10 MM EXTERNAL CIRCLIP, DIN 471","Accu","","","","COC AVAILABILITY NOT CONFIRMED","PROCUREMENT EVIDENCE NOT PRESENT","RECEIVED-ITEM COC NOT VERIFIED","2026-08-23T20:42:05Z","https://www.accu.co.uk/external-circlips/629101-HEC-10-A4","","","source_bom_aggregate"
"LELAND-81121","LELAND 81121 12 G CO2 CARTRIDGE","Leland Gas Technologies","","","","COC AVAILABILITY NOT CONFIRMED","PROCUREMENT EVIDENCE NOT PRESENT","RECEIVED-ITEM COC NOT VERIFIED","2026-08-23T20:42:05Z","https://www.lelandgas.com/product-page/81121-cartridge-small-x-xml-x-xxg-gas","","","source_bom_aggregate"
"SS-CHS2-1","SWAGELOK 316 SS POPPET CHECK VALVE, 1/8-IN TUBE FITTINGS, 6000 PSIG","Swagelok","","","","COC AVAILABILITY NOT CONFIRMED","PROCUREMENT EVIDENCE NOT PRESENT","RECEIVED-ITEM COC NOT VERIFIED","2026-08-23T20:42:05Z","https://products.swagelok.com/en/c/fixed-pressure/p/SS-CHS2-1","","","source_bom_aggregate"
