part_number,description,make_buy,status,reason,vendor
SSCF-M3-6-A4,"M3 X 6 FULL-THREAD SOCKET CAP SCREW, DIN 912 / ISO 4762",BUY,BASELINE_COTS,Existing COTS definition preserved by baseline.,Accu
SSCF-M3-10-A4,"M3 X 10 FULL-THREAD SOCKET CAP SCREW, DIN 912 / ISO 4762",BUY,BASELINE_COTS,Existing COTS definition preserved by baseline.,Accu
SSK-M3-6-A4-P80,"M3 X 6 SOCKET COUNTERSUNK SCREW, ISO 10642, PRECOTE 80",BUY,BASELINE_COTS,Existing COTS definition preserved by baseline.,Accu
SSCA-M3-8-A4-BL,"M3 X 8 CAPTIVE SOCKET CAP SCREW, DIN 912",BUY,BASELINE_COTS,Existing COTS definition preserved by baseline.,Accu
SSCL-M4-8-A4,"M4 X 8 FULL-THREAD LOW-HEAD SOCKET CAP SCREW, DIN 7984",BUY,BASELINE_COTS,Existing COTS definition preserved by baseline.,Accu
HDP-3-8-A1,"3 MM X 8 MM DOWEL PIN, DIN 7, M6 TOLERANCE",BUY,BASELINE_COTS,Existing COTS definition preserved by baseline.,Accu
HTP-3-30-A1,"3 MM X 30 MM TAPER PIN, DIN 1B",BUY,BASELINE_COTS,Existing COTS definition preserved by baseline.,Accu
HEC-10-A4,"10 MM EXTERNAL CIRCLIP, DIN 471",BUY,BASELINE_COTS,Existing COTS definition preserved by baseline.,Accu
DF8-WATER-BOBBIN-SERVICE-CAP-001,CAPTIVE WATER-BOBBIN THREADED/BAYONET SERVICE CAP,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-NOSE-001,TUNGSTEN PENETRATOR NOSE WITH OCCURRENCE-MATCHED TAPERED REAMED HALF BORE,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-BALLAST-001,"FORWARD TUNGSTEN BALLAST, SPINE SOCKET AND TAPERED REAMED HALF BORE",MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-FWD-SHELL-001,FORWARD GRADE-9 TITANIUM SHELL WITH CONTROLLED WATER PORT,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-STRUCT-RING-PLAIN-001,PRIMARY STRUCTURAL TRANSITION RING WITH FOUR TAPPED CARRIER LANDS,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-STRUCT-RING-ROUTED-001,"STRUCTURAL RING WITH ROUTE PASSAGES, ARM RELIEFS AND FULLFLOW CIRCLIP REACTION CAGE",MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-FWD-LONGERON-001,FORWARD PRIMARY LOAD-PATH LONGERON,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
LELAND-81121,LELAND 81121 12 G CO2 CARTRIDGE,BUY,BASELINE_COTS,Existing COTS definition preserved by baseline.,Leland Gas Technologies
DF8-R2-CARTRIDGE-CARRIER-001,FOUR-CARTRIDGE DOUBLE-PLATE CARRIER,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-COLLECTION-MANIFOLD-001,FOUR-PORT COLLECTION MANIFOLD WITH BORED PASSAGES,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-PUNCTURE-HEAD-001,CARTRIDGE PUNCTURE HEAD WITH CONTROLLED NEEDLE,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-BOOSTER-RESERVOIR-001,13 OD X 11 ID X 430 BOOSTER RESERVOIR WITH END BOSSES,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-BOOSTER-BAND-001,CAPTIVE BOOSTER SUPPORT BAND WITH M3 TAB,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-BOOSTER-FWD-ADAPTER-CLOSURE-001,PORTED FORWARD BOOSTER CLOSURE WITH WELD LIP AND VALVE ADAPTER,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
