source_package,register_key,manufacturer,part_number_model,description,primary_url,secondary_url,retrieval_date,evidence_type,source_file,cad_authenticity_status,compatibility,matched_bom_item_numbers_or_labels
WP01,COTS-WP01-001,BUMAX,14583A40300688,"ISO 14583 hexalobular pan-head screw, BUMAX 88, M3 x 6, T10",https://bumax.partcommunity.com/3d-cad-models/,https://bumax-fasteners.com/bumax-grades/,2026-08-18,,,AUTHENTIC CAD CATALOG VERIFIED; LOGIN/DOWNLOAD TRANSACTION REQUIRED,SELECTED CONTROLLED TRADE FROM DISCONTINUED ACCU SHP-M3-6-A4-80; exact CAD and procurement confirmation remain hold points.,WP01-COTS-001
WP01,COTS-WP01-002,Essentra Components,20828400,"PEEK flat washer, M3",https://www.essentracomponents.com/en-gb/p/flat-washers-peek/20828400,,2026-08-18,,,MANUFACTURER PRODUCT PAGE ADVERTISES 3D CAD; BINARY NOT RETRIEVED,Installation counterface and maximum-material envelope defined; exact CAD/procurement hold remains.,WP01-COTS-002
WP01,LEGACY-COTS-WP01-001,Accu,SHP-M3-6-A4-80,Legacy M3 x 6 T10 pan-head screw,https://www.accu.co.uk/hexalobular-pan-head-screws/629335-SHP-M3-6-A4-80,,2026-08-18,,,SUPERSEDED; DISCONTINUED/OUT-OF-STOCK IDENTITY RETAINED FOR TRACEABILITY,NOT SELECTED FOR WP01-R1,
WP02,ACE GS-19-50-V4A-B8-B8,ACE Controls,GS-19-50-V4A-B8-B8,ACE GS-19-50-V4A-B8-B8,https://www.acecontrols.com/us/products/motion-control/industrial-gas-springs-push-type/gs-8-v4a-to-gs-40-va/gs-19-v4a/gs-19-50-v4a.html,,2026-08-18,official product page + authentic authorized-CAD STEP inherited in controlled parent,ITEM_020_ACE_GS_19_50_V4A_B8_B8_VENDOR.stp,AUTHENTIC VENDOR CAD; AP214 original preserved unchanged; AP242 normalized copy scale 1.000000,Exact 50 mm stroke stainless GS-19 body and B8/B8 product name in STEP header; ordered 300 +/- 30 N extension-force setting requires purchase record/certificate.,WP02-015;WP02-016
WP02,ACE HBD-15-25-AA-P,ACE Controls,HBD-15-25-AA-P,ACE HBD-15-25-AA-P,https://www.acecontrols.com/us/products/motion-control/hydraulic-dampers/hbd-15-to-hbd-40/hbd-15.html,,2026-08-18,official current product family page/drawing dimensions,NONE_RETRIEVED,MANUFACTURER-DRAWING-DERIVED; NOT AUTHENTIC VENDOR CAD,"25 mm stroke and 15 mm body class modeled; exact ordered suffix, eye dimensions, adjustment and force-speed curve require vendor confirmation.",WP02-019;WP02-020
WP02,Lee Spring LHL 625D 12,Lee Spring,LHL 625D 12,Lee Spring LHL 625D 12,https://www.leespring.com/compression-springs/1?field_published_stock_code_value=&items_per_page=20&max=&min=&order=field_solid_height_cm&sort=desc,,2026-08-18,official manufacturer catalog table,NONE_RETRIEVED,MANUFACTURER-CATALOG-DERIVED HELICAL MODEL; NOT AUTHENTIC VENDOR CAD,"OD 15.24 mm, free length 203.2 mm, rate 11.91 N/mm, solid height 139.7 mm; incoming inspection required.",WP02-025
WP02,Smalley VSM-6-S16-PA,Smalley,VSM-6-S16-PA,Smalley VSM-6-S16-PA,https://www.smalley.com/ring/vsm-6,,2026-08-18,official product page and VSM catalog PDF,NONE_RETRIEVED,MANUFACTURER-DRAWING-DERIVED RING ENVELOPE; NOT AUTHENTIC VENDOR CAD,6 mm shaft ring; VSM-6 base dimensions modeled and -S16 stainless suffix controlled; exact -PA packaging suffix procurement confirmation required.,WP02-012
WP03,12 g CO2 small cartridge,Leland Gas Technologies,81121,12 g CO2 small cartridge,https://www.lelandgas.com/small-gas-cartridges-10ml-21ml,,,"Primary manufacturer catalog; exact page/catalog evidence; model is web-derived envelope, not authentic CAD",,,,Forward CO2 cartridge
WP03,water-sensitive inflator,Nordson MEDICAL / Halkey-Roberts,V95000 Hydro 1F family,water-sensitive inflator,https://fluid-components.nordsonmedical.com/Products/Inflation-Products/,,,Primary manufacturer; 3/8 and 1/2 thread variants; V80040; service parts,,,,Hydro 1F family trigger
WP03,customer drawing,Nordson MEDICAL / Halkey-Roberts,CV95000XXB Rev D,customer drawing,https://fluid-components.nordsonmedical.com/files/fluid-components-nordsonmedical-com/Technical%20Information/HRC/Hyrdo-1F-Manual-Automatic-Inflator-Drawing-V95000xxB.pdf,,,Primary drawing; suffix S = 3/8-24; V80040,,,,Hydro 1F family trigger
