part_number,part_name,included_in_deck,cots_classification,vendor_or_manufacturer,vendor_catalog_part_number,parent_purchased_assembly_part_number,catalog_identity_status,catalog_source_url,vendor_serial_lot_or_heat_identifier,serial_lot_or_heat_verified,certificate_of_conformance_status,certificate_of_conformance_verified,certificate_evidence_reference,receiving_release_disposition
"AMSTEEL-BLUE-872-7-64-R2","STRUCTURAL RECOVERY TETHER WITH TWO BURIED EYE SPLICES","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-FINAL-BOWDEN-SHEATH-001","COMPLETE TERMINATED BOWDEN SHEATH ASSEMBLY","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-FINAL-BOWDEN-SHEATH-FIXED-SECTOR-GUIDE-LINER","SPLIT PEEK GUIDE LINER FOR BOWDEN SHEATH LONG SPAN","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-FINAL-BOWDEN-SHEATH-RING-GLAND","BOWDEN SHEATH TWO-COLLAR BULKHEAD GLAND","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-FINAL-BOWDEN-WIRE-001","COMPLETE TERMINATED BOWDEN WIRE ASSEMBLY","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-FINAL-GAS-MAIN-001","COMPLETE TERMINATED GAS MAIN ASSEMBLY","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-FINAL-GAS-MAIN-FIXED-SECTOR-GUIDE-LINER","SPLIT PEEK GUIDE LINER FOR GAS MAIN LONG SPAN","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-FINAL-GAS-MAIN-RING-GLAND","GAS MAIN TWO-COLLAR BULKHEAD GLAND","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-FINAL-MANIFOLD-FEED-SPRING-CLIP-001","LASER-WELDED TITANIUM SPRING CLIP FOR MANIFOLD FEED","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-FINAL-MANIFOLD-FULLFLOW-FEED-001","TERMINATED COLLECTION-MANIFOLD TO FULL-FLOW VALVE FEED","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-FINAL-PILOT-LINE-001","COMPLETE TERMINATED PILOT LINE ASSEMBLY","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-FINAL-PILOT-LINE-FIXED-SECTOR-GUIDE-LINER","SPLIT PEEK GUIDE LINER FOR PILOT LINE LONG SPAN","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-FINAL-PILOT-LINE-RING-GLAND","PILOT LINE TWO-COLLAR BULKHEAD GLAND","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-FINAL-WP04-EJECTOR-SPRING-001","CONTROLLED LONG-STROKE GUIDED EJECTOR SPRING","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-FINAL-WP04-FULLFLOW-MANIFOLD","WP04 FULL-FLOW TERMINAL MANIFOLD WITH BRAZED GAS PORT","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-FINAL-WP04-MANIFOLD-BRACKET","WP04 FULL-FLOW MANIFOLD RADIAL SUPPORT BRACKET","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-ACTUATOR-E-RING-004","4 MM ACTUATOR PIN RETAINER","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
