install_path,name,version,package_json_sha256
@img/colour,@img/colour,1.1.0,bc38c5097693ed53b91c32f35fb0a52569736c7854ba2eb6d080f3252071f75c
@img/sharp-libvips-linux-x64,@img/sharp-libvips-linux-x64,1.3.2,5e608ea09d6673ea94f3a2b827cefaa2ef767658b4930451e2fd956870d8d5f5
@img/sharp-linux-x64,@img/sharp-linux-x64,0.35.3,d376c62ff00201873f3b8446580df9b08e4c49469f4ecf6cb13e36cc63085e4b
pnpm/artifacts/exe/dist/node_modules/@isaacs/fs-minipass,@isaacs/fs-minipass,4.0.1,ab8c1c2bce664e4c76b1937fa1a28f00ca5231a70cf0c1f78dd473101a9d2a88
pnpm/dist/node_modules/@isaacs/fs-minipass,@isaacs/fs-minipass,4.0.1,ab8c1c2bce664e4c76b1937fa1a28f00ca5231a70cf0c1f78dd473101a9d2a88
@napi-rs/canvas,@napi-rs/canvas,0.1.100,8379e15beeaecdedc863f8ff0e2548935eed4fb7505b93a207600a212d7bc2c5
@napi-rs/canvas-linux-x64-gnu,@napi-rs/canvas-linux-x64-gnu,0.1.100,55eb689b9e7bf948154b49e2b763364bca65305d5112fa93ac8a0068703f5073
@oai/artifact-tool,@oai/artifact-tool,2.8.43,2f002b0634c25fb99eca48c7ddc303c7eec550ed2c6516a83efa8f6e1fca9d18
@oai/artifact-tool/node_modules/@oai/embedded-fonts,@oai/embedded-fonts,0.1.1,957bee0bae425f9fd9c1584a919a919eaa9f466d304f1052f8782030fb4bfff0
@oai/artifact-tool/node_modules/@oai/walnut,@oai/walnut,0.1.245,10af7a5e7496c88f766fd580c627962d69c06111fcc705558f3538d344cf5d7a
@pdf-lib/standard-fonts,@pdf-lib/standard-fonts,1.0.0,55f26afbf621e1993e6e4828fd3ef4570acef13dcb8e3878b43a14adbb43f944
@pdf-lib/upng,@pdf-lib/upng,1.0.1,11e3bde19c32d4b61feadb43a301f23477b217fc7f44394194988a98b95851aa
pnpm/dist/node_modules/@reflink/reflink,@reflink/reflink,0.1.19,e99ee5ff222a9356c129c180a6ae8cbd9aa2af62e40ab4bd4c1f1c0212f72521
pnpm/dist/node_modules/@reflink/reflink-darwin-arm64,@reflink/reflink-darwin-arm64,0.1.19,fbbf219b021f4d1175864cd5ea0eec9ff8aaee56f710fa2c5ff4cbae099f08e1
pnpm/dist/node_modules/@reflink/reflink-darwin-x64,@reflink/reflink-darwin-x64,0.1.19,ef663980cb91dd3070a8ca5945a087d0ffd6e3bbc842d35697e143b18614ac05
pnpm/dist/node_modules/@reflink/reflink-win32-arm64-msvc,@reflink/reflink-win32-arm64-msvc,0.1.19,b6684d5ab4d22565fc50083c86a088ad3b9f13d31f09048fabc79a2a37e570be
pnpm/dist/node_modules/@reflink/reflink-win32-x64-msvc,@reflink/reflink-win32-x64-msvc,0.1.19,17234edc0cff64b71ad78d6194731b5932998cea4e878665078e3e9e2f8ccd96
pptxgenjs/node_modules/@types/node,@types/node,22.20.1,1e6d3bbbc5082745123d236b38dce0eacdab987d4ac9e57e299e55f780c170de
@types/node,@types/node,25.9.5,46650c7cede37be2d236fc61836ca10d3d5ebec76b806366ea7f24119f062852
@viz-js/viz,@viz-js/viz,3.25.0,9c1e81cbd863b8e828a93965d11571cc74e42bfcc5fb4a66e7b49aefb5122703
pnpm/artifacts/exe/dist/node_modules/abbrev,abbrev,4.0.0,86c0a87ee85682437c2617ea516604ac19dcc7b8e1fc5d34a2220f320347c627
pnpm/dist/node_modules/abbrev,abbrev,4.0.0,86c0a87ee85682437c2617ea516604ac19dcc7b8e1fc5d34a2220f320347c627
@oai/artifact-tool/node_modules/agent-base,agent-base,7.1.4,7a08cb2fe1d2b788e0a7bf6a9b7597dbeeeae804698c2fbd15de786d284d327c
bmp-js,bmp-js,0.1.0,78f3eefd21ab427f9085270917585c39f3b110c321b3ddbb5a210abfab0c9bdb
pnpm/artifacts/exe/dist/node_modules/chownr,chownr,3.0.0,4300e90fdd91ec7035047473c60f880251a9801bd786302729d4277751d3b948
pnpm/dist/node_modules/chownr,chownr,3.0.0,4300e90fdd91ec7035047473c60f880251a9801bd786302729d4277751d3b948
core-util-is,core-util-is,1.0.3,0067bcd4ef1c86da02a45ad770883b39a9d14aa0b00113071609d5fb3dce0bc0
@oai/artifact-tool/node_modules/debug,debug,4.4.3,ea8e33d63fe5f3a4c36609b6c3df8e2ef1f8b8ba2fc3a2e1e53cb27291f384af
@oai/artifact-tool/node_modules/detect-libc,detect-libc,2.1.2,ee88e5b954fdf3a8480b1d01ef767d68d8ca2c6da269f58c5cf1c5550e9aa2a7
detect-libc,detect-libc,2.1.2,ee88e5b954fdf3a8480b1d01ef767d68d8ca2c6da269f58c5cf1c5550e9aa2a7
docx,docx,9.6.1,de7f51a4cb346aab249c2d3d37d0508531b3cbcc13b83597fe9cb1eede084695
pnpm/artifacts/exe/dist/node_modules/env-paths,env-paths,2.2.1,b92833e5851ec53bd4cd8093f6099d0c6e6818c4374ec1d09aa25d4f9ba91ec4
pnpm/dist/node_modules/env-paths,env-paths,2.2.1,b92833e5851ec53bd4cd8093f6099d0c6e6818c4374ec1d09aa25d4f9ba91ec4
pnpm/artifacts/exe/dist/node_modules/exponential-backoff,exponential-backoff,3.1.3,c3076cc23aa8d9f5123900305b9c174af612bfef91211c658ab914611dd86fa8
pnpm/dist/node_modules/exponential-backoff,exponential-backoff,3.1.3,c3076cc23aa8d9f5123900305b9c174af612bfef91211c658ab914611dd86fa8
pnpm/artifacts/exe/dist/node_modules/fdir,fdir,6.5.0,aca49395d61ef383a09f74555c66ed45817ca2b5724e710a4dc9e0471b83d8f5
pnpm/dist/node_modules/fdir,fdir,6.5.0,aca49395d61ef383a09f74555c66ed45817ca2b5724e710a4dc9e0471b83d8f5
@oai/artifact-tool/node_modules/follow-redirects,follow-redirects,1.16.0,42d8d50f86a6a8ab62f2c9d9d69532fc51de63becfd1a96681812e479443960c
pnpm/artifacts/exe/dist/node_modules/graceful-fs,graceful-fs,4.2.11,5747d4ba6b17165c6ecac30ab3a331715f41c7ad546e1f1574dab1bdcb116181
pnpm/dist/node_modules/graceful-fs,graceful-fs,4.2.11,5747d4ba6b17165c6ecac30ab3a331715f41c7ad546e1f1574dab1bdcb116181
hash.js,hash.js,1.1.7,b97d8c10d1ed1b3355394a6a0cf9846716e39e87d32ee13e7edd56195b9b8950
https,https,1.0.0,30cc493ed51f008e9e1d0d0730759183294f9d1b39798032ee341dc6a17399f7
@oai/artifact-tool/node_modules/https-proxy-agent,https-proxy-agent,7.0.6,b08c1977d38f14f4be7fb5be33aab545e3e5a6e2e12100733a6ad97dec995206
idb-keyval,idb-keyval,6.3.0,28c6f3816282c710a8f67021422939cbff9a440ebadd67f083292da6edaf6648
image-size,image-size,1.2.1,05e7924fb82f9c46eea0dc96e497e75e63f6de4c34a88ae3d9387085d312d573
immediate,immediate,3.0.6,1e40d711ce5348d237f7a2093d1707ca7c34fc56369f6be10c8e2dc9bcae0a96
inherits,inherits,2.0.4,be645800bc94fd8de29c8ae91690549b316cc437100108aeea7b2f347693cc80
is-url,is-url,1.2.4,215ed6a491b1ac845b556de17f46075897e084c7c9f6018bde7150017da34817
isarray,isarray,1.0.0,93165ce56e458216c18240cd961a522af5b18e51da06f55d88ac552234455d95
pnpm/artifacts/exe/dist/node_modules/isexe,isexe,4.0.0,1889746f84d1e2a524353a2e31464995b808f24457f0dd55d6fd9da638f978ed
pnpm/dist/node_modules/isexe,isexe,4.0.0,1889746f84d1e2a524353a2e31464995b808f24457f0dd55d6fd9da638f978ed
jpeg-js,jpeg-js,0.4.4,8a0418edb81e7bdb69d1d78c4c1aeedeecc839deb58a8eeba6f25ae92ed14e62
jszip,jszip,3.10.1,83569b5b130b5ec27ae281ed80420ad364baf1bf64cb82e6ac8fb891e1b4ec4c
lie,lie,3.3.0,3faafb3b558146534b1849e6d2ed8a9c9c88eff27ef868827d8de17b979cf701
lucide,lucide,1.8.0,f113a3fe562deecda04f56efdac0697f552ee91f4f80617e208ca8952073293d
marked,marked,17.0.5,b0f610de98f9df7f779bc101af02209f20939dd232dc47af59d3df3162a04fc5
minimalistic-assert,minimalistic-assert,1.0.1,9a8e71d52eadcfae410d56953bf873e4089903001c872f964fc529fe906b8335
pnpm/artifacts/exe/dist/node_modules/minipass,minipass,7.1.3,b8ab116187d5e9375d494f17437eb862cbee4b329c21f15412c6a5170ec2f55c
pnpm/dist/node_modules/minipass,minipass,7.1.3,b8ab116187d5e9375d494f17437eb862cbee4b329c21f15412c6a5170ec2f55c
pnpm/artifacts/exe/dist/node_modules/minizlib,minizlib,3.1.0,3e3b206f94f3bd444f18fed847d8caeacb84925c628ae3d87805bc1dd6c4c470
