component_name,part_number,function,quantity,exact_location,selection_basis,location_orientation_basis,load_pressure_travel_environment_requirement,rating_or_calculated_capacity,interface_and_attachment,clearances,tolerance_requirements,assembly_access,service_reset_access,material_compatibility,mass_cg_effect,applicable_analysis,evidence,verification_status
STRUCTURAL_RECOVERY_TETHER_WITH_TWO_BURIED_EYE_SPLICES_HMPE,AMSTEEL-BLUE-SHORT14-STRUCTURAL-TETHER-001,STRUCTURAL RECOVERY TETHER WITH TWO BURIED EYE SPLICES,1,Shortened_Aft_Body_External_Buoy_Assembly/Structural_Recovery_Tether_Assembly/STRUCTURAL_RECOVERY_TETHER_WITH_TWO_BURIED_EYE_SPLICES_HMPE: X 28.336..46.000 mm; Y -2.000..9.000 mm; Z 1563.363..1627.000 mm,Ultimate recovery load runs hardpoint ring -> pin/thimble -> HMPE tether -> buoy harness. Cordura and hook-and-loop are bypassed.,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,TWO_PROOF_LOADED_EYE_SPLICES (DOF FLEXIBLE),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,"HMPE rope; Chafe-protected, heat-sealed and clean",0.09 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",Ultimate recovery load runs hardpoint ring -> pin/thimble -> HMPE tether -> buoy harness. Cordura and hook-and-loop are bypassed.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
4_MM_ACTUATOR_PIN_RETAINER_SS,DF8-R2-ACTUATOR-E-RING-004,4 MM ACTUATOR PIN RETAINER,4,Arm_Activation_Powertrain_Assembly/4_MM_ACTUATOR_PIN_RETAINER_SS_01: X 1.035..4.216 mm; Y 11.417..16.478 mm; Z 524.100..529.900 mm | Arm_Activation_Powertrain_Assembly/4_MM_ACTUATOR_PIN_RETAINER_SS_02: X 1.035..4.216 mm; Y 11.417..16.478 mm; Z 380.126..385.926 mm | Arm_Activation_Powertrain_Assembly/4_MM_ACTUATOR_PIN_RETAINER_SS_03: X -17.183..-11.600 mm; Y -4.925..-4.475 mm; Z 514.100..519.900 mm | Arm_Activation_Powertrain_Assembly/4_MM_ACTUATOR_PIN_RETAINER_SS_04: X -17.183..-11.600 mm; Y -4.925..-4.475 mm; Z 380.126..385.926 mm,Stamp; Certified stainless product form/condition; heat/lot CoC; qualified weld/braze procedure where applicable; ASTM A967 passivation; PT of pressure welds; dimensional inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,EXTERNAL_GROOVE (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,1.4310 stainless spring steel; ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,4.345508650541629e-05 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DOUBLE-SHEAR_GS19_ANCHOR_YOKE_WITH_CONFORMAL_LONGERON_TONGUE_TI,DF8-R2-ACTUATOR-FIXED-YOKE-GS19-001,DOUBLE-SHEAR GS19 ANCHOR YOKE WITH CONFORMAL LONGERON TONGUE,1,Arm_Activation_Powertrain_Assembly/DOUBLE-SHEAR_GS19_ANCHOR_YOKE_WITH_CONFORMAL_LONGERON_TONGUE_TI: X -0.181..13.931 mm; Y 3.937..20.843 mm; Z 520.500..536.000 mm,5-axis mill; conformal fit to r=23 longeron land; qualified laser weld; dimensional inspection; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,QUALIFIED_PERMANENT_LONGERON_LAND_JOINT (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,Ti-6Al-4V; ASTM B600 clean/passivate; drawing-controlled surface finish,0.0031335454005427285 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DOUBLE-SHEAR_HBD_ANCHOR_YOKE_WITH_CONFORMAL_LONGERON_TONGUE_TI,DF8-R2-ACTUATOR-FIXED-YOKE-HBD-001,DOUBLE-SHEAR HBD ANCHOR YOKE WITH CONFORMAL LONGERON TONGUE,1,Arm_Activation_Powertrain_Assembly/DOUBLE-SHEAR_HBD_ANCHOR_YOKE_WITH_CONFORMAL_LONGERON_TONGUE_TI: X -23.000..-8.000 mm; Y -4.250..4.250 mm; Z 510.500..526.000 mm,5-axis mill; conformal fit to r=23 longeron land; qualified laser weld; dimensional inspection; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,QUALIFIED_PERMANENT_LONGERON_LAND_JOINT (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,Ti-6Al-4V; ASTM B600 clean/passivate; drawing-controlled surface finish,0.003098105400542728 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
4_MM_CAPTIVE_ACTUATOR_CLEVIS_PIN_SS,DF8-R2-ACTUATOR-PIN-004,4 MM CAPTIVE ACTUATOR CLEVIS PIN,4,Arm_Activation_Powertrain_Assembly/4_MM_CAPTIVE_ACTUATOR_CLEVIS_PIN_SS_01: X 0.987..13.879 mm; Y 5.843..16.173 mm; Z 524.000..530.000 mm | Arm_Activation_Powertrain_Assembly/4_MM_CAPTIVE_ACTUATOR_CLEVIS_PIN_SS_02: X 0.987..13.879 mm; Y 5.843..16.173 mm; Z 380.026..386.026 mm | Arm_Activation_Powertrain_Assembly/4_MM_CAPTIVE_ACTUATOR_CLEVIS_PIN_SS_03: X -17.500..-11.500 mm; Y -5.500..6.500 mm; Z 514.000..520.000 mm | Arm_Activation_Powertrain_Assembly/4_MM_CAPTIVE_ACTUATOR_CLEVIS_PIN_SS_04: X -17.500..-11.500 mm; Y -5.500..6.500 mm; Z 380.026..386.026 mm,Swiss turn; H900; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,CLEVIS_PIN_WITH_E_RING (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,17-4PH stainless steel; ASTM A967 passivated; critical bearing surfaces ground,0.001280137647106325 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
REPLACEABLE_ARM_STOP_AND_AUTOMATIC-LOCK_STRIKE_SS,DF8-R2-ARM-STOP-PAD-001,REPLACEABLE ARM STOP AND AUTOMATIC-LOCK STRIKE,3,Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01/REPLACEABLE_ARM_STOP_AND_AUTOMATIC-LOCK_STRIKE_SS_01: X 17.000..27.000 mm; Y -3.800..3.800 mm; Z 344.300..348.700 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02/REPLACEABLE_ARM_STOP_AND_AUTOMATIC-LOCK_STRIKE_SS_02: X -16.791..-5.209 mm; Y 12.822..25.283 mm; Z 344.300..348.700 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03/REPLACEABLE_ARM_STOP_AND_AUTOMATIC-LOCK_STRIKE_SS_03: X -16.791..-5.209 mm; Y -25.283..-12.822 mm; Z 344.300..348.700 mm,Wire EDM and grind; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,DOVETAIL_AND_TWO_M3_SCREWS (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,17-4PH stainless steel; ASTM A967 passivated; critical bearing surfaces ground,0.0011774163151587191 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
PRESS-FIT_LOCK_GUIDE_OUTER_RETAINER_BUSHING_PEEK,DF8-R2-AUTO-LOCK-BUSHING-001,PRESS-FIT LOCK GUIDE OUTER RETAINER BUSHING,3,Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01/PRESS-FIT_LOCK_GUIDE_OUTER_RETAINER_BUSHING_PEEK_01: X 9.668..11.668 mm; Y 10.000..10.300 mm; Z 348.773..350.646 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02/PRESS-FIT_LOCK_GUIDE_OUTER_RETAINER_BUSHING_PEEK_02: X -14.754..-13.494 mm; Y 3.223..5.105 mm; Z 348.773..350.646 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03/PRESS-FIT_LOCK_GUIDE_OUTER_RETAINER_BUSHING_PEEK_03: X 2.826..4.086 mm; Y -15.255..-13.373 mm; Z 348.773..350.646 mm,Turn; press fit; inspect spring-clear bore and retention; Virgin unfilled PEEK resin/stock with ASTM D6262 or ISO material certificate; annealed stock; controlled machining temperature; moisture conditioning; dimensional inspection after stabilization,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,PRESS_FIT_OUTER_LOCK_GUIDE_RETAINER (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,"PEEK; Machined, edge-broken, cleaned; no mold release or particulate",3.094528181635134e-07 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
SPRING-DRIVEN_POSITIVE_DEPLOYED_LOCK_DOG_SS,DF8-R2-AUTO-LOCK-DOG-001,SPRING-DRIVEN POSITIVE DEPLOYED LOCK DOG,3,Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01/SPRING-DRIVEN_POSITIVE_DEPLOYED_LOCK_DOG_SS_01: X 9.574..11.074 mm; Y 6.950..8.300 mm; Z 348.835..350.335 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02/SPRING-DRIVEN_POSITIVE_DEPLOYED_LOCK_DOG_SS_02: X -12.725..-10.956 mm; Y 4.141..5.855 mm; Z 348.835..350.335 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03/SPRING-DRIVEN_POSITIVE_DEPLOYED_LOCK_DOG_SS_03: X 0.632..2.401 mm; Y -13.740..-12.026 mm; Z 348.835..350.335 mm,Swiss turn; H900; grind; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,SPRING_DRIVEN_GUIDED_DEPLOYED_LOCK (DOF 1 TRANSLATION),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,17-4PH stainless steel; ASTM A967 passivated; critical bearing surfaces ground,8.408963611185206e-06 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
CAPTIVE_LONG-STROKE_AUTOMATIC-LOCK_COMPRESSION_SPRING_SS,DF8-R2-AUTO-LOCK-SPRING-001,CAPTIVE LONG-STROKE AUTOMATIC-LOCK COMPRESSION SPRING,3,Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01/CAPTIVE_LONG-STROKE_AUTOMATIC-LOCK_COMPRESSION_SPRING_SS_01: X 9.524..11.124 mm; Y 8.250..9.900 mm; Z 348.785..350.385 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02/CAPTIVE_LONG-STROKE_AUTOMATIC-LOCK_COMPRESSION_SPRING_SS_02: X -14.038..-12.022 mm; Y 3.461..5.335 mm; Z 348.785..350.385 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03/CAPTIVE_LONG-STROKE_AUTOMATIC-LOCK_COMPRESSION_SPRING_SS_03: X 1.860..3.553 mm; Y -14.513..-12.453 mm; Z 348.785..350.385 mm,Endpoint B-reps bound the 3.30 mm snap-lock stroke; physical wire mass is state-invariant and the spring remains captive between the dog head and press-fit outer bushing.,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,CAPTURED_LOCK_RETURN_SPRING (DOF AXIAL COMPRESSION),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,1.4310 stainless spring steel; ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,2.8560892651638403e-06 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",Endpoint B-reps bound the 3.30 mm snap-lock stroke; physical wire mass is state-invariant and the spring remains captive between the dog head and press-fit outer bushing.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
CONTROLLED_16_N_MM_GUIDED_BACKUP_COMPRESSION_SPRING_SS,DF8-R2-BACKUP-SPRING-16N-001,CONTROLLED 16 N/MM GUIDED BACKUP COMPRESSION SPRING,1,Arm_Activation_Powertrain_Assembly/CONTROLLED_16_N_MM_GUIDED_BACKUP_COMPRESSION_SPRING_SS: X -1.900..13.900 mm; Y -18.292..-2.492 mm; Z 390.276..535.276 mm,OD 15.8 mm; wire 3.0 mm; free length 195.0 mm; rate 16.0 N/mm; controlled drawing and proof acceptance.,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,CAPTURED_GUIDED_SPRING (DOF AXIAL COMPRESSION),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,1.4310 stainless spring steel; ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,0.092 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",OD 15.8 mm; wire 3.0 mm; free length 195.0 mm; rate 16.0 N/mm; controlled drawing and proof acceptance.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
