component_name,exact_part_number,source_file,units,scale,local_coordinate_system,global_transform,source_class
ARM_1,STG-WP02-ARM-1,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-001_ARM_1_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
LINK_1,STG-WP02-LINK-1,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-004_LINK_1_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
ARM_2,STG-WP02-ARM-2,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-002_ARM_2_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
LINK_2,STG-WP02-LINK-2,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-005_LINK_2_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
ARM_3,STG-WP02-ARM-3,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-003_ARM_3_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
LINK_3,STG-WP02-LINK-3,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-006_LINK_3_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
COMMON_CROSSHEAD,STG-WP02-007,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-007_COMMON_CROSSHEAD_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
PIVOT_BUSHING_SET,STG-WP02-008,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-008_PIVOT_BUSHING_SET_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
ARM_PIVOT_PIN_SET,STG-WP02-009,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-009_ARM_PIVOT_PIN_SET_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
ARM_LINK_PIN_SET,STG-WP02-010,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-010_ARM_LINK_PIN_SET_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
