connection_id,occurrence_id,mate_occurrence_id,connection_type,retaining_hardware,axial_retention,lateral_retention,anti_rotation,upstream_load_path,downstream_load_path,service_method,evidence,attachment_requirement_count_for_pair,endpoints_exist,status
STRUCT-FWD-001,BALLAST-001,NOSE-001,STRUCTURAL_WELD_OR_PILOT,Integral weld/pilot defined at this pair,Axial shoulder or continuous weld,Circumferential pilot/weld,Clocked pilot or keyed spine feature,NOSE-001,BALLAST-001,Cut the identified weld or remove the identified controlled fasteners,Modeled forward-spine interface BALLAST-001:BALLAST_FORWARD_SOCKET to NOSE-001:NOSE_AFT_TENON,1,YES,CONNECTED
GUIDE-SPIDER-RING,CROSSHEAD-GUIDE-SPIDER,FWD-RING-02,EXACT_SUPPORTED_DIRECT_INTERFACE,"Occurrence-specific modeled shoulder, guide, weld land, or retained interface",Modeled axial stop/shoulder,"Modeled pilot, guide, or weld land",Clocked occurrence-specific geometry,FWD-RING-02,CROSSHEAD-GUIDE-SPIDER,Service only at the named occurrence pair,Direct exact-BREP interface CROSSHEAD-GUIDE-SPIDER:THREE_SPOKE_END_LANDS to FWD-RING-02:THREE_RING_INNER_LANDS,1,YES,CONNECTED
GUIDE-SHAFT-SPIDER,CROSSHEAD-GUIDE-001,CROSSHEAD-GUIDE-SPIDER,EXACT_SUPPORTED_DIRECT_INTERFACE,"Occurrence-specific modeled shoulder, guide, weld land, or retained interface",Modeled axial stop/shoulder,"Modeled pilot, guide, or weld land",Clocked occurrence-specific geometry,CROSSHEAD-GUIDE-SPIDER,CROSSHEAD-GUIDE-001,Service only at the named occurrence pair,Direct exact-BREP interface CROSSHEAD-GUIDE-001:INTEGRAL_FORWARD_SHOULDER to CROSSHEAD-GUIDE-SPIDER:SPIDER_HUB_FACE,1,YES,CONNECTED
BACKUP-GUIDE-LONGERON,BACKUP-SPRING-GUIDE,ARM-LONGERON-3,EXACT_SUPPORTED_DIRECT_INTERFACE,"Occurrence-specific modeled shoulder, guide, weld land, or retained interface",Modeled axial stop/shoulder,"Modeled pilot, guide, or weld land",Clocked occurrence-specific geometry,ARM-LONGERON-3,BACKUP-SPRING-GUIDE,Service only at the named occurrence pair,Direct exact-BREP interface BACKUP-SPRING-GUIDE:FORWARD_RADIAL_MOUNT_FOOT to ARM-LONGERON-3:LONGERON_INNER_LAND,1,YES,CONNECTED
BACKUP-SEAT-LONGERON,BACKUP-SPRING-FIXED-SEAT,ARM-LONGERON-3,EXACT_SUPPORTED_DIRECT_INTERFACE,"Occurrence-specific modeled shoulder, guide, weld land, or retained interface",Modeled axial stop/shoulder,"Modeled pilot, guide, or weld land",Clocked occurrence-specific geometry,ARM-LONGERON-3,BACKUP-SPRING-FIXED-SEAT,Service only at the named occurrence pair,Direct exact-BREP interface BACKUP-SPRING-FIXED-SEAT:AFT_RADIAL_MOUNT_TONGUE to ARM-LONGERON-3:LONGERON_INNER_LAND,1,YES,CONNECTED
BACKUP-GUIDE-SEAT,BACKUP-SPRING-GUIDE,BACKUP-SPRING-FIXED-SEAT,EXACT_SUPPORTED_DIRECT_INTERFACE,"Occurrence-specific modeled shoulder, guide, weld land, or retained interface",Modeled axial stop/shoulder,"Modeled pilot, guide, or weld land",Clocked occurrence-specific geometry,BACKUP-SPRING-FIXED-SEAT,BACKUP-SPRING-GUIDE,Service only at the named occurrence pair,Direct exact-BREP interface BACKUP-SPRING-GUIDE:AFT_GUIDE_FLANGE to BACKUP-SPRING-FIXED-SEAT:FIXED_SEAT_FORWARD_FACE,1,YES,CONNECTED
STOP-CARRIER-1,FIXED-STOP-1,PIVOT-CARRIER-1,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,PIVOT-CARRIER-1,FIXED-STOP-1,Remove occurrence-matched guide hardware,Direct exact-BREP support FIXED-STOP-1:TWIN_CARRIER_TIE_EARS to PIVOT-CARRIER-1:CARRIER_MOUNT_LANDS,1,YES,CONNECTED
STOW-DOG-GUIDE-1,STOW-DOG-1,STOW-DOG-GUIDE-1,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,STOW-DOG-GUIDE-1,STOW-DOG-1,Remove occurrence-matched guide hardware,Direct exact-BREP support STOW-DOG-1:DOG_GUIDE_FACES to STOW-DOG-GUIDE-1:FULL_STROKE_U_GUIDE,1,YES,CONNECTED
STOW-SPRING-GUIDE-1,STOW-DOG-SPRING-1,STOW-DOG-GUIDE-1,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,STOW-DOG-GUIDE-1,STOW-DOG-SPRING-1,Remove occurrence-matched guide hardware,Direct exact-BREP support STOW-DOG-SPRING-1:SPRING_FIXED_END to STOW-DOG-GUIDE-1:INTEGRAL_INBOARD_SPRING_SEAT,1,YES,CONNECTED
STOW-SPRING-DOG-1,STOW-DOG-SPRING-1,STOW-DOG-1,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,STOW-DOG-1,STOW-DOG-SPRING-1,Remove occurrence-matched guide hardware,Direct exact-BREP support STOW-DOG-SPRING-1:SPRING_MOVING_END to STOW-DOG-1:DOG_INBOARD_SPRING_FACE,1,YES,CONNECTED
