part_number,description,make_buy,manufacturer,quantity_per_product,orderable_configuration,purchase_authority,qualification_status,source,action
AMSTEEL-BLUE-SHORT14-STRUCTURAL-TETHER-001,STRUCTURAL RECOVERY TETHER WITH TWO BURIED EYE SPLICES,MAKE,Samson Rope Technologies raw line / STINGRAY finished splices,1,AMSTEEL-BLUE-SHORT14-STRUCTURAL-TETHER-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-ACTUATOR-E-RING-004,4 MM ACTUATOR PIN RETAINER,MAKE,STINGRAY custom,4,DF8-R2-ACTUATOR-E-RING-004,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-ACTUATOR-FIXED-YOKE-GS19-001,DOUBLE-SHEAR GS19 ANCHOR YOKE WITH CONFORMAL LONGERON TONGUE,MAKE,STINGRAY custom,1,DF8-R2-ACTUATOR-FIXED-YOKE-GS19-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-ACTUATOR-FIXED-YOKE-HBD-001,DOUBLE-SHEAR HBD ANCHOR YOKE WITH CONFORMAL LONGERON TONGUE,MAKE,STINGRAY custom,1,DF8-R2-ACTUATOR-FIXED-YOKE-HBD-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-ACTUATOR-PIN-004,4 MM CAPTIVE ACTUATOR CLEVIS PIN,MAKE,STINGRAY custom,4,DF8-R2-ACTUATOR-PIN-004,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-ARM-STOP-PAD-001,REPLACEABLE ARM STOP AND AUTOMATIC-LOCK STRIKE,MAKE,STINGRAY custom,3,DF8-R2-ARM-STOP-PAD-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-AUTO-LOCK-BUSHING-001,PRESS-FIT LOCK GUIDE OUTER RETAINER BUSHING,MAKE,STINGRAY custom,3,DF8-R2-AUTO-LOCK-BUSHING-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-AUTO-LOCK-DOG-001,SPRING-DRIVEN POSITIVE DEPLOYED LOCK DOG,MAKE,STINGRAY custom,3,DF8-R2-AUTO-LOCK-DOG-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-AUTO-LOCK-SPRING-001,CAPTIVE LONG-STROKE AUTOMATIC-LOCK COMPRESSION SPRING,MAKE,STINGRAY custom,3,DF8-R2-AUTO-LOCK-SPRING-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-BACKUP-SPRING-16N-001,CONTROLLED 16 N/MM GUIDED BACKUP COMPRESSION SPRING,MAKE,STINGRAY controlled spring specification,1,DF8-R2-BACKUP-SPRING-16N-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-BACKUP-SPRING-FIXED-SEAT-001,BACKUP SPRING AFT FIXED SEAT WITH LONGERON MOUNTING TONGUE,MAKE,STINGRAY custom,1,DF8-R2-BACKUP-SPRING-FIXED-SEAT-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-BACKUP-SPRING-GUIDE-001,BACKUP SPRING DLC GUIDE SHAFT WITH TWO FIXED SUPPORT SHOULDERS,MAKE,STINGRAY custom,1,DF8-R2-BACKUP-SPRING-GUIDE-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-BACKUP-SPRING-MOVING-SEAT-001,BACKUP SPRING CROSSHEAD SEAT WITH PILOTED PERMANENT LAND,MAKE,STINGRAY custom,1,DF8-R2-BACKUP-SPRING-MOVING-SEAT-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-BALLAST-001,"FORWARD TUNGSTEN BALLAST, SPINE SOCKET AND TAPERED REAMED HALF BORE",MAKE,STINGRAY custom,1,DF8-R2-BALLAST-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-CROSSHEAD-GUIDE-001,CENTRAL DLC CROSSHEAD GUIDE SHAFT WITH SPIDER SHOULDER,MAKE,STINGRAY custom,1,DF8-R2-CROSSHEAD-GUIDE-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-CROSSHEAD-GUIDE-SPIDER-001,THREE-SPOKE CROSSHEAD-GUIDE FORWARD MOUNT,MAKE,STINGRAY custom,1,DF8-R2-CROSSHEAD-GUIDE-SPIDER-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-FIXED-STOP-001,80 DEGREE SWEPT-CLEARANCE FIXED STOP WITH CONTROLLED AUTOMATIC-LOCK BUSHING SEAT,MAKE,STINGRAY custom,3,DF8-R2-FIXED-STOP-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-LINK-PIN-004,4 MM FULL-SPAN LINK PIN WITH DC-4SS RETAINER GROOVE,MAKE,STINGRAY custom,6,DF8-R2-LINK-PIN-004,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-NOSE-001,TUNGSTEN PENETRATOR NOSE WITH OCCURRENCE-MATCHED TAPERED REAMED HALF BORE,MAKE,STINGRAY custom,1,DF8-R2-NOSE-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-PIVOT-BUSH-008,8 MM PEEK-LINED PIVOT BUSHING,MAKE,STINGRAY custom,6,DF8-R2-PIVOT-BUSH-008,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-PIVOT-PIN-008,8 MM CAPTIVE SHOULDER PIVOT PIN WITH EXTERNAL GROOVE,MAKE,STINGRAY custom,3,DF8-R2-PIVOT-PIN-008,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-PIVOT-SPIRAL-RING-008,8 MM EXTERNAL SPIRAL PIVOT RETAINER,MAKE,STINGRAY custom,3,DF8-R2-PIVOT-SPIRAL-RING-008,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
