collected_file,original_path,source_root,sha256,size_bytes,identical_source_copy_count,duplicate_original_paths_json,vendor_part_numbers_observed,evidence_type,selection_reason_and_limitations,evidence_classification,source_status_note,collected_at_utc,context_branch,context_commit,branch_base_commit
AXIAL_RELOCATION_REGISTER.csv,C:\STINGRAY_CPD_FINAL_01\STINGRAY_COMPLETE_PRODUCT_DEFINITION\03_BOM_AND_REGISTERS\SOURCE_PACKAGE05_REGISTERS\AXIAL_RELOCATION_REGISTER.csv,C:\STINGRAY_CPD_FINAL_01,8ca59eab48a7b4e2f0959fc606250869e2e73efe00f34b1e3ab9f995d5c28567,4929,3,"[""C:\\STINGRAY_CPD_X03\\STINGRAY_COMPLETE_PRODUCT_DEFINITION\\03_BOM_AND_REGISTERS\\SOURCE_PACKAGE05_REGISTERS\\AXIAL_RELOCATION_REGISTER.csv"", ""C:\\STINGRAY_CPD_X04\\STINGRAY_COMPLETE_PRODUCT_DEFINITION\\03_BOM_AND_REGISTERS\\SOURCE_PACKAGE05_REGISTERS\\AXIAL_RELOCATION_REGISTER.csv""]",81121; V80040,CSV_PART_NUMBER_REGISTER,Component relocation register names Leland 81121 and V80040; modeled installation context only.,CURRENT DEVELOPMENTAL,"Copied evidence only. Recorded vendor dates/statuses are source claims, not reverified in this consolidation. No qualification or release claim.",2026-09-10T02:59:37.829899+00:00,origin/engineering/stingray-context,8a63fd3c36866c1edffa245da06d8c7af2d90ee1,4093dbcf37fc4845cff49489ad6afa944681aa00
BOM_DELTA.csv,C:\STINGRAY_CPD_FINAL_01\STINGRAY_COMPLETE_PRODUCT_DEFINITION\03_BOM_AND_REGISTERS\SOURCE_PACKAGE05_REGISTERS\BOM_DELTA.csv,C:\STINGRAY_CPD_FINAL_01,c8c8d53021b9ba545b6d3916df83477c8f16e6352d512175893ab032ecd1a92a,76409,3,"[""C:\\STINGRAY_CPD_X03\\STINGRAY_COMPLETE_PRODUCT_DEFINITION\\03_BOM_AND_REGISTERS\\SOURCE_PACKAGE05_REGISTERS\\BOM_DELTA.csv"", ""C:\\STINGRAY_CPD_X04\\STINGRAY_COMPLETE_PRODUCT_DEFINITION\\03_BOM_AND_REGISTERS\\SOURCE_PACKAGE05_REGISTERS\\BOM_DELTA.csv""]",81121; DC-4SS; GN-615.3-M3-KN-PFB; GS-19-50-V4A-B8-B8; HBD-15-25-AA-P; HDP-3-8-A1; HEC-10-A4; HTP-3-30-A1; SSCA-M3-8-A4-BL; SSCF-M3-10-A4; SSCF-M3-6-A4; SSCL-M4-8-A4; SSK-M3-6-A4-P80; V80040; V95000XXB,CSV_PART_NUMBER_REGISTER,"BOM change register names exact vendor fastener, pin, retainer and inflation part identities.",CURRENT DEVELOPMENTAL,"Copied evidence only. Recorded vendor dates/statuses are source claims, not reverified in this consolidation. No qualification or release claim.",2026-09-10T02:59:37.829899+00:00,origin/engineering/stingray-context,8a63fd3c36866c1edffa245da06d8c7af2d90ee1,4093dbcf37fc4845cff49489ad6afa944681aa00
BUOY_EJECTOR_REMOVAL_REGISTER.csv,C:\STINGRAY_CPD_FINAL_01\STINGRAY_COMPLETE_PRODUCT_DEFINITION\03_BOM_AND_REGISTERS\SOURCE_PACKAGE05_REGISTERS\BUOY_EJECTOR_REMOVAL_REGISTER.csv,C:\STINGRAY_CPD_FINAL_01,6452f40cdd7e5153602864525c636da5a57629dfd6fbbbcdd9dcf9159e41e0cf,51274,3,"[""C:\\STINGRAY_CPD_X03\\STINGRAY_COMPLETE_PRODUCT_DEFINITION\\03_BOM_AND_REGISTERS\\SOURCE_PACKAGE05_REGISTERS\\BUOY_EJECTOR_REMOVAL_REGISTER.csv"", ""C:\\STINGRAY_CPD_X04\\STINGRAY_COMPLETE_PRODUCT_DEFINITION\\03_BOM_AND_REGISTERS\\SOURCE_PACKAGE05_REGISTERS\\BUOY_EJECTOR_REMOVAL_REGISTER.csv""]",81121; GN-615.3-M3-KN-PFB; HEC-10-A4; SSCA-M3-8-A4-BL; SSCF-M3-10-A4; SSCF-M3-6-A4; SSK-M3-6-A4-P80; V80040,CSV_PART_NUMBER_REGISTER,Removal register preserves superseded Leland and fastener part identities; not current selection authority.,CURRENT DEVELOPMENTAL,"Copied evidence only. Recorded vendor dates/statuses are source claims, not reverified in this consolidation. No qualification or release claim.",2026-09-10T02:59:37.829899+00:00,origin/engineering/stingray-context,8a63fd3c36866c1edffa245da06d8c7af2d90ee1,4093dbcf37fc4845cff49489ad6afa944681aa00
COMPONENT_DESIGN_BASIS_MATRIX.csv,C:\STINGRAY_CPD_FINAL_01\STINGRAY_COMPLETE_PRODUCT_DEFINITION\03_BOM_AND_REGISTERS\COMPONENT_DESIGN_BASIS_MATRIX.csv,C:\STINGRAY_CPD_FINAL_01,e51ef7790fd97131bfed79abc5f79ec3dec71ab4086a21c31f4e4cc2e35abb22,149182,3,"[""C:\\STINGRAY_CPD_X03\\STINGRAY_COMPLETE_PRODUCT_DEFINITION\\03_BOM_AND_REGISTERS\\COMPONENT_DESIGN_BASIS_MATRIX.csv"", ""C:\\STINGRAY_CPD_X04\\STINGRAY_COMPLETE_PRODUCT_DEFINITION\\03_BOM_AND_REGISTERS\\COMPONENT_DESIGN_BASIS_MATRIX.csv""]",81121; DC-4SS; GS-19-50-V4A-B8-B8; HBD-15-25-AA-P; HDP-3-8-A1; HTP-3-30-A1; SSCA-M3-8-A4-BL; SSCF-M3-10-A4; SSCL-M4-8-A4; V80040; V95000; V95000XXB; V95000xxB,CSV_PART_NUMBER_REGISTER,"Component design-basis register records exact part numbers, material, interface and evidence limitations; closure load capacity remains undetermined.",CURRENT DEVELOPMENTAL,"Copied evidence only. Recorded vendor dates/statuses are source claims, not reverified in this consolidation. No qualification or release claim.",2026-09-10T02:59:37.829899+00:00,origin/engineering/stingray-context,8a63fd3c36866c1edffa245da06d8c7af2d90ee1,4093dbcf37fc4845cff49489ad6afa944681aa00
COTS_PROVENANCE_REGISTER.csv,C:\STINGRAY_CPD_FINAL_01\STINGRAY_COMPLETE_PRODUCT_DEFINITION\03_BOM_AND_REGISTERS\COTS_PROVENANCE_REGISTER.csv,C:\STINGRAY_CPD_FINAL_01,4160505b056021187164308c361dc7e05260bd1e681d09002392ede3f7e3e95f,6956,3,"[""C:\\STINGRAY_CPD_X03\\STINGRAY_COMPLETE_PRODUCT_DEFINITION\\03_BOM_AND_REGISTERS\\COTS_PROVENANCE_REGISTER.csv"", ""C:\\STINGRAY_CPD_X04\\STINGRAY_COMPLETE_PRODUCT_DEFINITION\\03_BOM_AND_REGISTERS\\COTS_PROVENANCE_REGISTER.csv""]",81121; DC-4SS; GS-19-50-V4A-B8-B8; HBD-15-25-AA-P; HDP-3-8-A1; HTP-3-30-A1; SSCA-M3-8-A4-BL; SSCF-M3-10-A4; SSCL-M4-8-A4; V80040; V95000; V95000XXB,CSV_PART_NUMBER_REGISTER,"COTS provenance register records manufacturer, part number, published specification summaries, original source URLs and recorded verification dates.",CURRENT DEVELOPMENTAL,"Copied evidence only. Recorded vendor dates/statuses are source claims, not reverified in this consolidation. No qualification or release claim.",2026-09-10T02:59:37.829899+00:00,origin/engineering/stingray-context,8a63fd3c36866c1edffa245da06d8c7af2d90ee1,4093dbcf37fc4845cff49489ad6afa944681aa00
CREO_COMPONENT_PLACEMENT_MAP.csv,C:\STINGRAY_CPD_FINAL_01\STINGRAY_COMPLETE_PRODUCT_DEFINITION\11_BUILD_AND_REPRODUCIBILITY\rebuild_source\work\input\wp02\STINGRAY_I5S_DF8_WP02_ARM_AND_POWERTRAIN\CREO_COMPONENT_PLACEMENT_MAP.csv,C:\STINGRAY_CPD_FINAL_01,d99e5390ed3be1c56fd604f09692397db2a8c2f04ad895137a863411dfeca4de,9125,3,"[""C:\\STINGRAY_CPD_X03\\STINGRAY_COMPLETE_PRODUCT_DEFINITION\\11_BUILD_AND_REPRODUCIBILITY\\rebuild_source\\work\\input\\wp02\\STINGRAY_I5S_DF8_WP02_ARM_AND_POWERTRAIN\\CREO_COMPONENT_PLACEMENT_MAP.csv"", ""C:\\STINGRAY_CPD_X04\\STINGRAY_COMPLETE_PRODUCT_DEFINITION\\11_BUILD_AND_REPRODUCIBILITY\\rebuild_source\\work\\input\\wp02\\STINGRAY_I5S_DF8_WP02_ARM_AND_POWERTRAIN\\CREO_COMPONENT_PLACEMENT_MAP.csv""]",GS-19-50-V4A-B8-B8; HBD-15-25-AA-P; LHL 625D 12; LHL625D12; VSM-6-S16-PA,CSV_PART_NUMBER_REGISTER,Historical WP02 component register names Smalley VSM-6-S16-PA and Lee Spring LHL 625D 12 and distinguishes drawing-derived geometry.,HISTORICAL,"Copied evidence only. Recorded vendor dates/statuses are source claims, not reverified in this consolidation. No qualification or release claim.",2026-09-10T02:59:37.829899+00:00,origin/engineering/stingray-context,8a63fd3c36866c1edffa245da06d8c7af2d90ee1,4093dbcf37fc4845cff49489ad6afa944681aa00
CYLINDER_DISPOSITION_REGISTER.csv,C:\STINGRAY_CPD_FINAL_01\STINGRAY_COMPLETE_PRODUCT_DEFINITION\03_BOM_AND_REGISTERS\SOURCE_PACKAGE05_REGISTERS\CYLINDER_DISPOSITION_REGISTER.csv,C:\STINGRAY_CPD_FINAL_01,cb2cba5955b9de928189e9a603644bd580316602bc637096be9dbce3d2911088,4302,3,"[""C:\\STINGRAY_CPD_X03\\STINGRAY_COMPLETE_PRODUCT_DEFINITION\\03_BOM_AND_REGISTERS\\SOURCE_PACKAGE05_REGISTERS\\CYLINDER_DISPOSITION_REGISTER.csv"", ""C:\\STINGRAY_CPD_X04\\STINGRAY_COMPLETE_PRODUCT_DEFINITION\\03_BOM_AND_REGISTERS\\SOURCE_PACKAGE05_REGISTERS\\CYLINDER_DISPOSITION_REGISTER.csv""]",81121; GS-19-50-V4A-B8-B8; HBD-15-25-AA-P; V95000XXB,CSV_PART_NUMBER_REGISTER,Cylinder disposition register identifies Leland 81121 and Hydro 1F proxy family and distinguishes removed/internal and external installations.,CURRENT DEVELOPMENTAL,"Copied evidence only. Recorded vendor dates/statuses are source claims, not reverified in this consolidation. No qualification or release claim.",2026-09-10T02:59:37.829899+00:00,origin/engineering/stingray-context,8a63fd3c36866c1edffa245da06d8c7af2d90ee1,4093dbcf37fc4845cff49489ad6afa944681aa00
EXTERNAL_BUOY_PACK_COMPONENT_REGISTER.csv,C:\STINGRAY_CPD_FINAL_01\STINGRAY_COMPLETE_PRODUCT_DEFINITION\03_BOM_AND_REGISTERS\SOURCE_PACKAGE05_REGISTERS\EXTERNAL_BUOY_PACK_COMPONENT_REGISTER.csv,C:\STINGRAY_CPD_FINAL_01,f4c6bcb86e014053eb18be1504e120b77d4e3912a80c29c7141b7789604a820c,13080,3,"[""C:\\STINGRAY_CPD_X03\\STINGRAY_COMPLETE_PRODUCT_DEFINITION\\03_BOM_AND_REGISTERS\\SOURCE_PACKAGE05_REGISTERS\\EXTERNAL_BUOY_PACK_COMPONENT_REGISTER.csv"", ""C:\\STINGRAY_CPD_X04\\STINGRAY_COMPLETE_PRODUCT_DEFINITION\\03_BOM_AND_REGISTERS\\SOURCE_PACKAGE05_REGISTERS\\EXTERNAL_BUOY_PACK_COMPONENT_REGISTER.csv""]",81121; V80040; V95000XXB,CSV_PART_NUMBER_REGISTER,"External buoy component register identifies Leland 81121, Hydro 1F V95000XXB proxy and V80040; closure entries are design definitions, not test data.",CURRENT DEVELOPMENTAL,"Copied evidence only. Recorded vendor dates/statuses are source claims, not reverified in this consolidation. No qualification or release claim.",2026-09-10T02:59:37.829899+00:00,origin/engineering/stingray-context,8a63fd3c36866c1edffa245da06d8c7af2d90ee1,4093dbcf37fc4845cff49489ad6afa944681aa00
FINAL_ATTACHMENT_CONNECTIVITY.csv,C:\STINGRAY_CPD_FINAL_01\STINGRAY_COMPLETE_PRODUCT_DEFINITION\03_BOM_AND_REGISTERS\SOURCE_PACKAGE05_REGISTERS\FINAL_ATTACHMENT_CONNECTIVITY.csv,C:\STINGRAY_CPD_FINAL_01,b98f8ab678bde798a861e975483f703009884b80a22fcf26c00b4f4fb3fd081c,105414,3,"[""C:\\STINGRAY_CPD_X03\\STINGRAY_COMPLETE_PRODUCT_DEFINITION\\03_BOM_AND_REGISTERS\\SOURCE_PACKAGE05_REGISTERS\\FINAL_ATTACHMENT_CONNECTIVITY.csv"", ""C:\\STINGRAY_CPD_X04\\STINGRAY_COMPLETE_PRODUCT_DEFINITION\\03_BOM_AND_REGISTERS\\SOURCE_PACKAGE05_REGISTERS\\FINAL_ATTACHMENT_CONNECTIVITY.csv""]",81121; V80040,CSV_PART_NUMBER_REGISTER,"Attachment register names Leland 81121 and V80040 and preserves cartridge, bobbin and softgoods interface limitations; CAD connectivity is not physical validation.",CURRENT DEVELOPMENTAL,"Copied evidence only. Recorded vendor dates/statuses are source claims, not reverified in this consolidation. No qualification or release claim.",2026-09-10T02:59:37.829899+00:00,origin/engineering/stingray-context,8a63fd3c36866c1edffa245da06d8c7af2d90ee1,4093dbcf37fc4845cff49489ad6afa944681aa00
FULL_BOM.csv,C:\STINGRAY_CPD_FINAL_01\STINGRAY_COMPLETE_PRODUCT_DEFINITION\03_BOM_AND_REGISTERS\FULL_BOM.csv,C:\STINGRAY_CPD_FINAL_01,c7e72270bfafec5fc717a5749dd91a7f9cb083364075b0732a23968a9a16c633,57139,3,"[""C:\\STINGRAY_CPD_X03\\STINGRAY_COMPLETE_PRODUCT_DEFINITION\\03_BOM_AND_REGISTERS\\FULL_BOM.csv"", ""C:\\STINGRAY_CPD_X04\\STINGRAY_COMPLETE_PRODUCT_DEFINITION\\03_BOM_AND_REGISTERS\\FULL_BOM.csv""]",81121; DC-4SS; GS-19-50-V4A-B8-B8; HBD-15-25-AA-P; HDP-3-8-A1; HTP-3-30-A1; SSCA-M3-8-A4-BL; SSCF-M3-10-A4; SSCL-M4-8-A4; V80040; V95000XXB; V95000xxB,CSV_PART_NUMBER_REGISTER,"Full BOM records specific vendor part numbers, manufacturer, source URLs, material and recorded specifications.",CURRENT DEVELOPMENTAL,"Copied evidence only. Recorded vendor dates/statuses are source claims, not reverified in this consolidation. No qualification or release claim.",2026-09-10T02:59:37.829899+00:00,origin/engineering/stingray-context,8a63fd3c36866c1edffa245da06d8c7af2d90ee1,4093dbcf37fc4845cff49489ad6afa944681aa00
