item,component,quantity_in_shape,material,mass_kg,mass_basis,zmin_mm,zmax_mm
WP02-001,ARM_1,1,17-4PH stainless steel,0.759630609,CAD volume x nominal density,615.000000,1095.129119
WP02-004,LINK_1,1,17-4PH stainless steel,0.024531299,CAD volume x nominal density,583.702428,666.494669
WP02-002,ARM_2,1,17-4PH stainless steel,0.759630609,CAD volume x nominal density,615.000000,1095.129119
WP02-005,LINK_2,1,17-4PH stainless steel,0.024531299,CAD volume x nominal density,583.702428,666.494669
WP02-003,ARM_3,1,17-4PH stainless steel,0.759630609,CAD volume x nominal density,615.000000,1095.129119
WP02-006,LINK_3,1,17-4PH stainless steel,0.024531299,CAD volume x nominal density,583.702428,666.494669
WP02-007,COMMON_CROSSHEAD,1,17-4PH stainless steel,0.063529426,CAD volume x nominal density,574.202428,615.202428
WP02-008,PIVOT_BUSHING_SET,6,PEEK,0.000439475,CAD volume x nominal density,621.000000,629.000000
WP02-009,ARM_PIVOT_PIN_SET,3,17-4PH stainless steel,0.024530503,CAD volume x nominal density,620.500000,629.500000
WP02-010,ARM_LINK_PIN_SET,3,17-4PH stainless steel,0.017956720,CAD volume x nominal density,655.494669,664.494669
WP02-011,CROSSHEAD_LINK_PIN_SET,3,17-4PH stainless steel,0.017956720,CAD volume x nominal density,585.702428,594.702428
WP02-012,VSM6_RETENTION_RING_SET,9,316 stainless steel,0.000148426,CAD volume x nominal density,586.927428,663.269669
WP02-013,POWERTRAIN_CARTRIDGE_SPINE,1,17-4PH stainless steel,0.064982766,CAD volume x nominal density,538.000000,970.000000
WP02-014,CROSSHEAD_GUIDE_ROD_SET,2,17-4PH stainless steel,0.009819770,CAD volume x nominal density,532.000000,618.000000
WP02-015,GS19_FIXED_BODY_EXACT_VENDOR_BREP,1,Vendor-defined stainless assembly,0.340000000,override/vendor,616.000000,740.000000
WP02-016,GS19_MOVING_ROD_EXACT_VENDOR_BREP,1,Vendor-defined stainless assembly,0.080000000,override/vendor,600.202428,660.202428
WP02-017,GS19_FIXED_ANCHOR,1,17-4PH stainless steel,0.005503297,CAD volume x nominal density,730.200000,741.900000
WP02-018,GS19_MOVING_ADAPTER,1,17-4PH stainless steel,0.007789899,CAD volume x nominal density,585.202428,611.702428
WP02-019,HBD15_BODY_DRAWING_DERIVED,1,Black anodized aluminum / hard-chrome steel,0.160000000,override/vendor,637.628038,732.628038
WP02-020,HBD15_ROD_DRAWING_DERIVED,1,Black anodized aluminum / hard-chrome steel,0.060000000,override/vendor,599.002428,642.628038
WP02-021,HBD_MOVING_LOST_MOTION_COUPLER,1,17-4PH stainless steel,0.007982785,CAD volume x nominal density,598.202428,616.702428
WP02-022,HBD_CAPTIVE_BYPASS_CARRIAGE,1,17-4PH stainless steel,0.008985884,CAD volume x nominal density,717.628038,738.128038
WP02-023,HBD_BYPASS_RAIL_AND_SHOULDER_SET,2,17-4PH stainless steel,0.012563229,CAD volume x nominal density,631.628038,740.628038
WP02-024,HBD_BYPASS_DETENT_SET,2,17-4PH stainless steel,0.000372888,CAD volume x nominal density,735.128038,738.628038
WP02-025,BACKUP_SPRING_LHL625D12,1,"Alloy spring steel, orange powder coat",0.180000000,override/vendor,812.150000,964.850000
WP02-026,BACKUP_SPRING_FIXED_REACTION_SEAT,1,17-4PH stainless steel,0.009129692,CAD volume x nominal density,940.000000,969.700000
WP02-027,BACKUP_SPRING_MOVING_SEAT,1,17-4PH stainless steel,0.007619069,CAD volume x nominal density,787.000000,812.000000
WP02-028,BACKUP_SPRING_GUIDE_PUSHROD,1,17-4PH stainless steel,0.045203524,CAD volume x nominal density,610.202428,812.000000
WP02-029,DEPLOYED_STOP_PAD_SET,3,Polyurethane 90A,0.000181125,CAD volume x nominal density,609.011144,612.833808
WP02-030,POSITIVE_LOCK_HOUSING_SET,3,17-4PH stainless steel,0.003832964,CAD volume x nominal density,621.649658,631.649658
WP02-031,POSITIVE_LOCK_PLUNGER_AND_WITNESS_SET,3,17-4PH stainless steel,0.005999672,CAD volume x nominal density,623.649658,629.649658
WP02-032,CROSSHEAD_SEAR,1,17-4PH stainless steel,0.001332287,CAD volume x nominal density,579.802428,584.602428
WP02-033,CROSSHEAD_SEAR_HOUSING,1,17-4PH stainless steel,0.001047975,CAD volume x nominal density,578.002428,586.402428
WP02-034,COVER_SEQUENCED_ARM_STOW_LATCH_SET,3,17-4PH stainless steel,0.003445194,CAD volume x nominal density,1056.433747,1068.733747
