part_number,physical_title,state_definition,revision,description,material,finish,make_buy,manufacturer,cad_classification,mass_kg,volume_mm3,solid_count,face_count,bbox_mm,neutral_ap242_path,neutral_ap242_bytes,neutral_ap242_sha256,native_brep_path,native_brep_bytes,native_brep_sha256,four_view_render_path,four_view_render_bytes,four_view_render_sha256,installed_location_reference,installed_location_image,section_cutaway_status,release_status
AMSTEEL-BLUE-SHORT14-STRUCTURAL-TETHER-001,STRUCTURAL_RECOVERY_TETHER_WITH_TWO_BURIED_EYE_SPLICES_HMPE,STOWED,A,STRUCTURAL RECOVERY TETHER WITH TWO BURIED EYE SPLICES,HMPE rope,"Chafe-protected, heat-sealed and clean",MAKE,Samson Rope Technologies raw line / STINGRAY finished splices,EXACT_ANALYTIC,0.09,1139.9581523137651,1,14,"{""xmin"":28.332718454131467,""xmax"":46.01748192530844,""ymin"":-2.003180957192847,""ymax"":9.013964042101973,""zmin"":1563.3361335697996,""zmax"":1627.0023415674307}",neutral_ap242/AMSTEEL-BLUE-SHORT14-STRUCTURAL-TETHER-001__STOWED__LOCAL_AP242.step,57898,caaec51419fe9432d690d595bb659cd9e2d78e9548dd28835ed8812b92e59e3e,native_brep/AMSTEEL-BLUE-SHORT14-STRUCTURAL-TETHER-001__STOWED__LOCAL_OCCT.brep,21865,fc30f6ff4168408434185c1c07544288490313154b415e7a396e733658fffb20,renders/AMSTEEL-BLUE-SHORT14-STRUCTURAL-TETHER-001__STOWED__FOUR_VIEW.png,147218,29dc3c470b7bc40c568718bdd09c7b468fa15244abeb1da4c7a1feeb188138d7,STRUCTURAL-RECOVERY-TETHER in Shortened_Aft_Body_External_Buoy_Assembly/Structural_Recovery_Tether_Assembly,NOT GENERATED - REGISTERED BY OCCURRENCE/BBOX; SYSTEM VIEWS PROVIDED,NOT PROVIDED - RELEASE DRAWING/ANALYSIS RELEVANCE NOT ESTABLISHED,DEVELOPMENTAL PART DEFINITION - NOT RELEASED FOR FABRICATION OR PROCUREMENT
AMSTEEL-BLUE-SHORT14-STRUCTURAL-TETHER-001,STRUCTURAL_RECOVERY_TETHER_WITH_TWO_BURIED_EYE_SPLICES_HMPE,DEPLOYED,A,STRUCTURAL RECOVERY TETHER WITH TWO BURIED EYE SPLICES,HMPE rope,"Chafe-protected, heat-sealed and clean",MAKE,Samson Rope Technologies raw line / STINGRAY finished splices,EXACT_ANALYTIC,0.09,1307.68306021505,1,11,"{""xmin"":-0.49379696769262094,""xmax"":40.001615994605345,""ymin"":-2.0043680108137556,""ymax"":2.0043680108137414,""zmin"":1612.0582210668042,""zmax"":1692.0799506387848}",neutral_ap242/AMSTEEL-BLUE-SHORT14-STRUCTURAL-TETHER-001__DEPLOYED__LOCAL_AP242.step,41724,9b7e001dceb502b4b238eb301319f7d00805c49a730f17542ce7e16558429e0b,native_brep/AMSTEEL-BLUE-SHORT14-STRUCTURAL-TETHER-001__DEPLOYED__LOCAL_OCCT.brep,15257,c6dec60e0bd0b261b0c339d0408931c6cc3be03752b348e2b913148906a5eb75,renders/AMSTEEL-BLUE-SHORT14-STRUCTURAL-TETHER-001__DEPLOYED__FOUR_VIEW.png,105943,afd94dd156636bcc1f57eb9fe3551b87f2463e4990188c541767e8d63de4483f,STRUCTURAL-RECOVERY-TETHER in Shortened_Aft_Body_External_Buoy_Assembly/Structural_Recovery_Tether_Assembly,NOT GENERATED - REGISTERED BY OCCURRENCE/BBOX; SYSTEM VIEWS PROVIDED,NOT PROVIDED - RELEASE DRAWING/ANALYSIS RELEVANCE NOT ESTABLISHED,DEVELOPMENTAL PART DEFINITION - NOT RELEASED FOR FABRICATION OR PROCUREMENT
DF8-R2-ACTUATOR-E-RING-004,4_MM_ACTUATOR_PIN_RETAINER_SS,STOWED,A,4 MM ACTUATOR PIN RETAINER,1.4310 stainless spring steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,MAKE,STINGRAY custom,DRAWING_DERIVED,4.345508650541629e-05,5.5356798096071715,1,8,"{""xmin"":-2.900349691795746,""xmax"":2.6841768018889614,""ymin"":-0.2258952288892142,""ymax"":0.2258952288892142,""zmin"":-2.9007229716565632,""zmax"":2.900895228889214}",neutral_ap242/DF8-R2-ACTUATOR-E-RING-004__STOWED__LOCAL_AP242.step,26852,525d2c6af20ddca571caf2bdf797af68aa876e1b4e15415a5465c10e816a77b0,native_brep/DF8-R2-ACTUATOR-E-RING-004__STOWED__LOCAL_OCCT.brep,7156,42825ff5d386ab806276f1a81d4b19f7dff418e3d651dc1f70b80bba948da8de,renders/DF8-R2-ACTUATOR-E-RING-004__STOWED__FOUR_VIEW.png,202745,139a283596e1dbc53e140a2848ff2e802f2b0f80f8bfe18efe57545a87cd18bf,GS19-CLIP-FIXED in Arm_Activation_Powertrain_Assembly | GS19-CLIP-MOVING in Arm_Activation_Powertrain_Assembly | HBD-CLIP-FIXED in Arm_Activation_Powertrain_Assembly | HBD-CLIP-MOVING in Arm_Activation_Powertrain_Assembly,NOT GENERATED - REGISTERED BY OCCURRENCE/BBOX; SYSTEM VIEWS PROVIDED,NOT PROVIDED - RELEASE DRAWING/ANALYSIS RELEVANCE NOT ESTABLISHED,DEVELOPMENTAL PART DEFINITION - NOT RELEASED FOR FABRICATION OR PROCUREMENT
DF8-R2-ACTUATOR-FIXED-YOKE-GS19-001,DOUBLE-SHEAR_GS19_ANCHOR_YOKE_WITH_CONFORMAL_LONGERON_TONGUE_TI,STOWED,B,DOUBLE-SHEAR GS19 ANCHOR YOKE WITH CONFORMAL LONGERON TONGUE,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,MAKE,STINGRAY custom,DRAWING_DERIVED,0.0031335454005427285,707.346591544634,1,47,"{""xmin"":-6.500960022407005,""xmax"":9.502421629229865,""ymin"":-4.252026097548167,""ymax"":4.252026097548167,""zmin"":-6.501759119861777,""zmax"":9.002421629229865}",neutral_ap242/DF8-R2-ACTUATOR-FIXED-YOKE-GS19-001__STOWED__LOCAL_AP242.step,143374,79498203969a98dbddee1929f5906d139e149cc008732d2ad336b4df3c52de98,native_brep/DF8-R2-ACTUATOR-FIXED-YOKE-GS19-001__STOWED__LOCAL_OCCT.brep,31533,6a0b1e3d44390d720c04f0df387b3c2a95f6a4bc8126e997bbd0690800592d09,renders/DF8-R2-ACTUATOR-FIXED-YOKE-GS19-001__STOWED__FOUR_VIEW.png,306067,f7930c21b96614b4acc6a98027f84982799ab04d79daf2a1fa2a559937341c32,GS19-FIXED-YOKE in Arm_Activation_Powertrain_Assembly,NOT GENERATED - REGISTERED BY OCCURRENCE/BBOX; SYSTEM VIEWS PROVIDED,NOT PROVIDED - RELEASE DRAWING/ANALYSIS RELEVANCE NOT ESTABLISHED,DEVELOPMENTAL PART DEFINITION - NOT RELEASED FOR FABRICATION OR PROCUREMENT
DF8-R2-ACTUATOR-FIXED-YOKE-HBD-001,DOUBLE-SHEAR_HBD_ANCHOR_YOKE_WITH_CONFORMAL_LONGERON_TONGUE_TI,STOWED,B,DOUBLE-SHEAR HBD ANCHOR YOKE WITH CONFORMAL LONGERON TONGUE,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,MAKE,STINGRAY custom,DRAWING_DERIVED,0.003098105400542728,699.346591544634,1,47,"{""xmin"":-6.500960022407005,""xmax"":8.502421629229865,""ymin"":-4.252026097548167,""ymax"":4.252026097548167,""zmin"":-6.501759119861777,""zmax"":9.002421629229865}",neutral_ap242/DF8-R2-ACTUATOR-FIXED-YOKE-HBD-001__STOWED__LOCAL_AP242.step,143369,affbf4c3786901ed473d02a111fbddd1202672e2b3d8e738aa21e5a809079c33,native_brep/DF8-R2-ACTUATOR-FIXED-YOKE-HBD-001__STOWED__LOCAL_OCCT.brep,31533,4024daeb5b604cfc4652785309f95cdc487659b60d36f23136b4761259d35bdd,renders/DF8-R2-ACTUATOR-FIXED-YOKE-HBD-001__STOWED__FOUR_VIEW.png,314670,c0a72c62ca5ac1ed0c28020501ab32dd9db4004c1aea1a43b0b834f6a197bfa2,HBD-FIXED-YOKE in Arm_Activation_Powertrain_Assembly,NOT GENERATED - REGISTERED BY OCCURRENCE/BBOX; SYSTEM VIEWS PROVIDED,NOT PROVIDED - RELEASE DRAWING/ANALYSIS RELEVANCE NOT ESTABLISHED,DEVELOPMENTAL PART DEFINITION - NOT RELEASED FOR FABRICATION OR PROCUREMENT
DF8-R2-ACTUATOR-PIN-004,4_MM_CAPTIVE_ACTUATOR_CLEVIS_PIN_SS,STOWED,B,4 MM CAPTIVE ACTUATOR CLEVIS PIN,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,MAKE,STINGRAY custom,DRAWING_DERIVED,0.001280137647106325,165.17905123952582,1,9,"{""xmin"":-3.000000100000001,""xmax"":3.0000001000000003,""ymin"":-1.0009325539975515,""ymax"":11.000621735998367,""zmin"":-3.0009325539975515,""zmax"":3.0009325539975515}",neutral_ap242/DF8-R2-ACTUATOR-PIN-004__STOWED__LOCAL_AP242.step,19509,f9bb608eeb08478990aecbe532ecae4525d00fb8a5b2e3d5fba7cd349de578fd,native_brep/DF8-R2-ACTUATOR-PIN-004__STOWED__LOCAL_OCCT.brep,3955,e620d79a1249e0a220930a585d5a5353caaab0b0244d95427b3ac483099efb45,renders/DF8-R2-ACTUATOR-PIN-004__STOWED__FOUR_VIEW.png,261833,ae289a9baffd6235b416f1a023e2e856c4629d80cf918c66c4bdbed14f6415ec,GS19-PIN-FIXED in Arm_Activation_Powertrain_Assembly | GS19-PIN-MOVING in Arm_Activation_Powertrain_Assembly | HBD-PIN-FIXED in Arm_Activation_Powertrain_Assembly | HBD-PIN-MOVING in Arm_Activation_Powertrain_Assembly,NOT GENERATED - REGISTERED BY OCCURRENCE/BBOX; SYSTEM VIEWS PROVIDED,NOT PROVIDED - RELEASE DRAWING/ANALYSIS RELEVANCE NOT ESTABLISHED,DEVELOPMENTAL PART DEFINITION - NOT RELEASED FOR FABRICATION OR PROCUREMENT
DF8-R2-ARM-STOP-PAD-001,REPLACEABLE_ARM_STOP_AND_AUTOMATIC-LOCK_STRIKE_SS,STOWED,B,REPLACEABLE ARM STOP AND AUTOMATIC-LOCK STRIKE,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,MAKE,STINGRAY custom,DRAWING_DERIVED,0.0011774163151587191,151.9246858269315,1,22,"{""xmin"":-5.00084449799566,""xmax"":5.00084449799566,""ymin"":-3.8008444979956595,""ymax"":3.800512949698654,""zmin"":-2.20084449799566,""zmax"":2.20084449799566}",neutral_ap242/DF8-R2-ARM-STOP-PAD-001__STOWED__LOCAL_AP242.step,75622,4795790be6fd2b73f9e86a735b80886239361fba81de0faae92838b6fec98b7e,native_brep/DF8-R2-ARM-STOP-PAD-001__STOWED__LOCAL_OCCT.brep,20133,4bcfca2b9d94624b7380f827985229517b6d73a96c4e523507589285d11717d6,renders/DF8-R2-ARM-STOP-PAD-001__STOWED__FOUR_VIEW.png,269528,2314f0e880d04d556524005611a19704596af3d6b68f440faa33fa6790ff0f86,ARM-STOP-PAD-1 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01 | ARM-STOP-PAD-2 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02 | ARM-STOP-PAD-3 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03,NOT GENERATED - REGISTERED BY OCCURRENCE/BBOX; SYSTEM VIEWS PROVIDED,NOT PROVIDED - RELEASE DRAWING/ANALYSIS RELEVANCE NOT ESTABLISHED,DEVELOPMENTAL PART DEFINITION - NOT RELEASED FOR FABRICATION OR PROCUREMENT
DF8-R2-AUTO-LOCK-BUSHING-001,PRESS-FIT_LOCK_GUIDE_OUTER_RETAINER_BUSHING_PEEK,STOWED,A,PRESS-FIT LOCK GUIDE OUTER RETAINER BUSHING,PEEK,"Machined, edge-broken, cleaned; no mold release or particulate",MAKE,STINGRAY custom,DRAWING_DERIVED,3.094528181635134e-07,0.23443395315417684,1,8,"{""xmin"":-1.0001104781459895,""xmax"":0.774237346192695,""ymin"":-0.15037292828560994,""ymax"":0.15037292828560994,""zmin"":-1.0003083842650566,""zmax"":1.0003559309485155}",neutral_ap242/DF8-R2-AUTO-LOCK-BUSHING-001__STOWED__LOCAL_AP242.step,37470,c7fdafaa2396a0e0dd1d7078eaf857f654c5a64e543ee1084b5159c998da71bf,native_brep/DF8-R2-AUTO-LOCK-BUSHING-001__STOWED__LOCAL_OCCT.brep,13897,716069f883a55be7a38d33d50902968c5c66868f6a4ab5ff4813a8ea572c4dbc,renders/DF8-R2-AUTO-LOCK-BUSHING-001__STOWED__FOUR_VIEW.png,197309,13c48fdc30f656ed50b9ce7d9851a14a6bba598a2cc82cb982d1751fa62bc358,LOCK-BUSHING-1 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01 | LOCK-BUSHING-2 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02 | LOCK-BUSHING-3 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03,NOT GENERATED - REGISTERED BY OCCURRENCE/BBOX; SYSTEM VIEWS PROVIDED,NOT PROVIDED - RELEASE DRAWING/ANALYSIS RELEVANCE NOT ESTABLISHED,DEVELOPMENTAL PART DEFINITION - NOT RELEASED FOR FABRICATION OR PROCUREMENT
DF8-R2-AUTO-LOCK-DOG-001,SPRING-DRIVEN_POSITIVE_DEPLOYED_LOCK_DOG_SS,STOWED,A,SPRING-DRIVEN POSITIVE DEPLOYED LOCK DOG,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,MAKE,STINGRAY custom,DRAWING_DERIVED,8.408963611185206e-06,1.0850275627335748,1,5,"{""xmin"":-0.7500001000000003,""xmax"":0.7500001000000001,""ymin"":-0.0003385213730965504,""ymax"":1.3502332134993877,""zmin"":-0.7502332134993879,""zmax"":0.7502332134993879}",neutral_ap242/DF8-R2-AUTO-LOCK-DOG-001__STOWED__LOCAL_AP242.step,11816,3d0f318cd83ed182f581313e7a213fc15ba290efb3c100631921f039286152c9,native_brep/DF8-R2-AUTO-LOCK-DOG-001__STOWED__LOCAL_OCCT.brep,2366,0d65eb38d14add7ccd28b7a919b28bf7edd27403e986ac5dcb7481a847983fb4,renders/DF8-R2-AUTO-LOCK-DOG-001__STOWED__FOUR_VIEW.png,311725,f7ca2333bdd27879a1431964b284c119824ae802d88e882652f714422b7729e2,LOCK-DOG-1 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01 | LOCK-DOG-2 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02 | LOCK-DOG-3 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03,NOT GENERATED - REGISTERED BY OCCURRENCE/BBOX; SYSTEM VIEWS PROVIDED,NOT PROVIDED - RELEASE DRAWING/ANALYSIS RELEVANCE NOT ESTABLISHED,DEVELOPMENTAL PART DEFINITION - NOT RELEASED FOR FABRICATION OR PROCUREMENT
DF8-R2-AUTO-LOCK-SPRING-001,CAPTIVE_LONG-STROKE_AUTOMATIC-LOCK_COMPRESSION_SPRING_SS,STOWED,B,CAPTIVE LONG-STROKE AUTOMATIC-LOCK COMPRESSION SPRING,1.4310 stainless spring steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,MAKE,STINGRAY custom,DRAWING_DERIVED,2.8560892651638403e-06,0.3638330274094065,1,3,"{""xmin"":-0.8071312965832854,""xmax"":0.8071374449844297,""ymin"":-0.807122488331613,""ymax"":0.807135764563609,""zmin"":-0.006614247647617517,""zmax"":1.6545680010707218}",neutral_ap242/DF8-R2-AUTO-LOCK-SPRING-001__STOWED__LOCAL_AP242.step,44939,328d844fbd05debd6149c17ac29a1c1c6f6181882287c3d906ac1b6a3f73978a,native_brep/DF8-R2-AUTO-LOCK-SPRING-001__STOWED__LOCAL_OCCT.brep,26797,5605018fa4b75c930e5e9efc54c9aacad70cc983dcb0477ff87b9a4af037c46d,renders/DF8-R2-AUTO-LOCK-SPRING-001__STOWED__FOUR_VIEW.png,397294,185543da02f538ee10aa06c94a9eafe52a584bd68ad42f94ef2dd07004f7591d,LOCK-SPRING-1 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01 | LOCK-SPRING-2 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02 | LOCK-SPRING-3 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03,NOT GENERATED - REGISTERED BY OCCURRENCE/BBOX; SYSTEM VIEWS PROVIDED,NOT PROVIDED - RELEASE DRAWING/ANALYSIS RELEVANCE NOT ESTABLISHED,DEVELOPMENTAL PART DEFINITION - NOT RELEASED FOR FABRICATION OR PROCUREMENT
