part_number,manufacturer,catalog_name,quantity,cad_classification,official_source,current_verification_date,evidence_summary,exact_geometry_status,application_rating_status,procurement_status
GS-19-50-V4A-B8-B8,ACE Controls,ACE GS-19-50-V4A-B8-B8 PURCHASED ASSEMBLY — ONE-SOLID ARTICULATED INSTALLATION BODY,1,DRAWING_DERIVED,https://www.acecontrols.com/us/products/motion-control/industrial-gas-springs-push-type/gs-8-v4a-to-gs-40-va/gs-19-v4a.html,2026-08-26,"Official ACE family page: GS-19-50-V4A has 50 mm stroke, 164 mm extended length, and configurable force; exact delivered force and B8/B8 configuration require order control.",DRAWING-DERIVED OR ANALYTIC; SEE SOURCE AND INCOMING INSPECTION,NOT QUALIFIED FOR THIS INSTALLATION,NO PURCHASE AUTHORIZED
GS-19-50-V4A-B8-B8-ROD-CHILD,ACE Controls,ACE GS-19 MOVING ROD ARTICULATION CHILD,0,DRAWING_DERIVED,https://www.acecontrols.com/us/products/motion-control/industrial-gas-springs-push-type/gs-8-v4a-to-gs-40-va/gs-19-v4a.html,REPOSITORY EVIDENCE - NOT LIVE-REFRESHED,Included articulation child of the configured GS-19 purchased assembly; no separate purchase quantity. Occurrence-level mass allocation reconciles with the 0.144 kg parent assembly. Drawing-derived child verified against the controlled ACE STEP.,DRAWING-DERIVED OR ANALYTIC; SEE SOURCE AND INCOMING INSPECTION,NOT QUALIFIED FOR THIS INSTALLATION,NO PURCHASE AUTHORIZED
HALKEY-ROBERTS-HYDRO-1F-V95000XXB_PROXY,Nordson MEDICAL / Halkey-Roberts,HALKEY-ROBERTS HYDRO 1F AUTOMATIC/MANUAL INFLATOR DIMENSION-CONTROLLED PROXY,1,DIMENSION_CONTROLLED_PROXY,https://fluid-components.nordsonmedical.com/Products/Inflation-Products/,2026-08-26,"Official Nordson/Halkey-Roberts page identifies Hydro 1F V95000, 3/8 or 1/2 in cylinder-thread families, V80040 bobbin, service parts, and 1F recognition. The installed suffix and exact vendor CAD remain uncontrolled.",NO - DIMENSION-CONTROLLED PROXY,NOT QUALIFIED FOR THIS INSTALLATION,NO PURCHASE AUTHORIZED
HBD-15-25-AA-P,ACE Controls,ACE HBD-15-25-AA-P PURCHASED ASSEMBLY — ONE-SOLID ARTICULATED INSTALLATION BODY,1,DRAWING_DERIVED,https://www.acecontrols.com/us/products/motion-control/hydraulic-dampers/hbd-15-to-hbd-40/hbd-15.html,2026-08-26,Official ACE family page: HBD-15-25 has 25 mm nominal stroke and 145 mm extended length; final AA-P suffix interfaces and setting require controlled order data.,DRAWING-DERIVED OR ANALYTIC; SEE SOURCE AND INCOMING INSPECTION,NOT QUALIFIED FOR THIS INSTALLATION,NO PURCHASE AUTHORIZED
HBD-15-25-AA-P-ROD-CHILD,ACE Controls,HBD MOVING ROD ARTICULATION CHILD,0,DRAWING_DERIVED,https://www.acecontrols.com/us/products/motion-control/hydraulic-dampers/hbd-15-to-hbd-40/hbd-15/hbd-15-25.html,REPOSITORY EVIDENCE - NOT LIVE-REFRESHED,Included articulation child of the configured HBD purchased assembly; no separate purchase quantity. Occurrence-level mass allocation reconciles with the 0.220 kg parent assembly. Drawing-derived child verified against the controlled ACE source.,DRAWING-DERIVED OR ANALYTIC; SEE SOURCE AND INCOMING INSPECTION,NOT QUALIFIED FOR THIS INSTALLATION,NO PURCHASE AUTHORIZED
HDP-3-8-A1,Accu,"3 MM X 8 MM DOWEL PIN, DIN 7, M6 TOLERANCE",6,DRAWING_DERIVED,https://www.accu.co.uk/dowel-pins/72653-HDP-3-8-A1,REPOSITORY EVIDENCE - NOT LIVE-REFRESHED,Official Accu product identity and nominal dimensions verified 2026-08-22; Official mass 47 g per 100; diameter tolerance +0.002/+0.008 mm and 0.45 mm radius length.,DRAWING-DERIVED OR ANALYTIC; SEE SOURCE AND INCOMING INSPECTION,NOT QUALIFIED FOR THIS INSTALLATION,NO PURCHASE AUTHORIZED
HTP-3-30-A1,Accu,"3 MM X 30 MM TAPER PIN, DIN 1B",1,DRAWING_DERIVED,https://www.accu.co.uk/taper-pins/389498-HTP-3-30-A1,REPOSITORY EVIDENCE - NOT LIVE-REFRESHED,"Official Accu product identity and nominal dimensions verified 2026-08-22; Nominal 3.0 mm small diameter, 3.6 mm large diameter and 30 mm length; mass from exact nominal B-rep at 7.90 g/cm3.",DRAWING-DERIVED OR ANALYTIC; SEE SOURCE AND INCOMING INSPECTION,NOT QUALIFIED FOR THIS INSTALLATION,NO PURCHASE AUTHORIZED
LELAND-81121,Leland Gas Technologies,LELAND 81121 12 G CO2 CARTRIDGE,1,DRAWING_DERIVED,https://www.lelandgas.com/product-page/81121-cartridge-small-x-xml-x-xxg-gas,2026-08-26,"Official Leland page: 81121, puncture type, non-refillable, 3/8-24 UNF, 12 g CO2, 3.250 in long, 0.735 in diameter; dimensional statements are referential.",DRAWING-DERIVED OR ANALYTIC; SEE SOURCE AND INCOMING INSPECTION,NOT QUALIFIED FOR THIS INSTALLATION,NO PURCHASE AUTHORIZED
ROTOR-CLIP-DC-4SS,Rotor Clip,ROTOR CLIP DC-4SS CRESCENT RETAINING RING FOR 4 MM SHAFT,6,DRAWING_DERIVED,https://www.rotorclip.com/product/dc-4/,REPOSITORY EVIDENCE - NOT LIVE-REFRESHED,Explicit occurrence mass is the 3.7479745 mm3 authored envelope at 7.85e-6 kg/mm3; incoming lot mass and material are verified.,DRAWING-DERIVED OR ANALYTIC; SEE SOURCE AND INCOMING INSPECTION,NOT QUALIFIED FOR THIS INSTALLATION,NO PURCHASE AUTHORIZED
SSCA-M3-8-A4-BL,Accu,"M3 X 8 CAPTIVE SOCKET CAP SCREW, DIN 912",12,DRAWING_DERIVED,https://www.accu.co.uk/cap-head-captive-screws/779966-SSCA-M3-8-A4-BL,REPOSITORY EVIDENCE - NOT LIVE-REFRESHED,Official Accu product identity and nominal dimensions verified 2026-08-22; Official mass 80 g per 100; 2.2 mm captive diameter x 5 mm captive length and 3 mm M3 threaded end.,DRAWING-DERIVED OR ANALYTIC; SEE SOURCE AND INCOMING INSPECTION,NOT QUALIFIED FOR THIS INSTALLATION,NO PURCHASE AUTHORIZED
SSCF-M3-10-A4,Accu,"M3 X 10 FULL-THREAD SOCKET CAP SCREW, DIN 912 / ISO 4762",2,DRAWING_DERIVED,https://www.accu.co.uk/us/socket-cap-head-screws/3975-SSCF-M3-10-A4,REPOSITORY EVIDENCE - NOT LIVE-REFRESHED,"Official Accu product identity and nominal dimensions verified 2026-08-22; Official mass 88 g per 100; M3 x 0.5, 5.5 mm head diameter, 3.0 mm head height.",DRAWING-DERIVED OR ANALYTIC; SEE SOURCE AND INCOMING INSPECTION,NOT QUALIFIED FOR THIS INSTALLATION,NO PURCHASE AUTHORIZED
SSCL-M4-8-A4,Accu,"M4 X 8 FULL-THREAD LOW-HEAD SOCKET CAP SCREW, DIN 7984",1,DRAWING_DERIVED,https://www.accu.co.uk/low-head-cap-screws/8885-SSCL-M4-8-A4,REPOSITORY EVIDENCE - NOT LIVE-REFRESHED,"Official Accu product identity and nominal dimensions verified 2026-08-22; Official mass 112 g per 100; M4 x 0.7, 7.0 mm head diameter, 2.8 mm head height.",DRAWING-DERIVED OR ANALYTIC; SEE SOURCE AND INCOMING INSPECTION,NOT QUALIFIED FOR THIS INSTALLATION,NO PURCHASE AUTHORIZED
V80040,Nordson MEDICAL / Halkey-Roberts,HALKEY-ROBERTS WATER-SENSITIVE BOBBIN,1,DRAWING_DERIVED,https://fluid-components.nordsonmedical.com/files/fluid-components-nordsonmedical-com/Technical%20Information/HRC/Hyrdo-1F-Manual-Automatic-Inflator-V80040-Bobbin-Instructions-For-Use.pdf,2026-08-26,"Official V80040 IFU: water-sensitive bobbin intended for Halkey-Roberts products; orientation, storage, lot/date, and replacement controls apply.",DRAWING-DERIVED OR ANALYTIC; SEE SOURCE AND INCOMING INSPECTION,NOT QUALIFIED FOR THIS INSTALLATION,NO PURCHASE AUTHORIZED
