occurrence_id,delta_action,baseline_definition,final_definition,baseline_mass_kg,final_mass_kg,mass_delta_kg,baseline_parent_path,final_parent_path,reason
AFT-CLOSURE-CAP,ADDED,N/A,DF8-SHORT14-AFT-CAP-001,0.000000,0.038524,0.038524,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/510_SHORTENED_AFT_STRUCTURE_ASSY,New SHORT14/external-buoy occurrence
AFT-CLOSURE-RING,ADDED,N/A,DF8-SHORT14-AFT-CLOSURE-RING-001,0.000000,0.031073,0.031073,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/510_SHORTENED_AFT_STRUCTURE_ASSY,New SHORT14/external-buoy occurrence
AFT-LONGERON-1,REMOVED,DF8-R2-AFT-LONGERON-001,N/A,0.007614,0.000000,-0.007614,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,N/A,Replaced by the exact 1675.400 mm rigid-body stack
AFT-LONGERON-2,REMOVED,DF8-R2-AFT-LONGERON-001,N/A,0.007614,0.000000,-0.007614,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,N/A,Replaced by the exact 1675.400 mm rigid-body stack
AFT-LONGERON-3,REMOVED,DF8-R2-AFT-LONGERON-001,N/A,0.007614,0.000000,-0.007614,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,N/A,Replaced by the exact 1675.400 mm rigid-body stack
AFT-LONGERON-AFT-1,ADDED,N/A,DF8-SHORT14-AFT-LONGERON-AFT-001,0.000000,0.001427,0.001427,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/510_SHORTENED_AFT_STRUCTURE_ASSY,New SHORT14/external-buoy occurrence
AFT-LONGERON-AFT-2,ADDED,N/A,DF8-SHORT14-AFT-LONGERON-AFT-001,0.000000,0.001427,0.001427,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/510_SHORTENED_AFT_STRUCTURE_ASSY,New SHORT14/external-buoy occurrence
AFT-LONGERON-AFT-3,ADDED,N/A,DF8-SHORT14-AFT-LONGERON-AFT-001,0.000000,0.001427,0.001427,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/510_SHORTENED_AFT_STRUCTURE_ASSY,New SHORT14/external-buoy occurrence
AFT-LONGERON-FWD-1,ADDED,N/A,DF8-SHORT14-AFT-LONGERON-FWD-001,0.000000,0.026677,0.026677,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/510_SHORTENED_AFT_STRUCTURE_ASSY,New SHORT14/external-buoy occurrence
AFT-LONGERON-FWD-2,ADDED,N/A,DF8-SHORT14-AFT-LONGERON-FWD-001,0.000000,0.026677,0.026677,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/510_SHORTENED_AFT_STRUCTURE_ASSY,New SHORT14/external-buoy occurrence
