image_number,filename,input_presence,defect_family_or_intent,affected_occurrences,actual_inspection_result,root_cause,correction,before_rendering,after_rendering,stowed_result,deployed_result,motion_result,validator_evidence,independent_review_disposition
1,96caba30-c2bd-4a17-b248-81ee3559dc4b.png,MISSING FROM ATTACHMENT AND BOUNDED WORKSPACE SEARCH,Mechanism interfaces,NOT DETERMINABLE FROM ABSENT IMAGE,Global current-model family audit completed; exact pictured root cause cannot be reconstructed,Historical image unavailable; no unsupported root cause assigned,Current architecture contains no route objects; exact-Boolean mechanism audit passes,NOT AVAILABLE - SOURCE SCREENSHOT MISSING,07_RENDERING_AND_SCREENSHOTS/system_views/current CAD inspection views,Closed pack digitally represented; endpoint gate PASS,Open pack digitally represented; endpoint gate PASS,PASS; 0-80 degree one-degree sweep,09_VALIDATION/full_motion/full_motion_exact_boolean_summary.json,PENDING FRESH-CONTEXT REVIEW
2,b802781b-9a00-4332-8f65-b17b5ecf0d56.png,MISSING FROM ATTACHMENT AND BOUNDED WORKSPACE SEARCH,Mechanism interfaces,NOT DETERMINABLE FROM ABSENT IMAGE,Global current-model family audit completed; exact pictured root cause cannot be reconstructed,Historical image unavailable; no unsupported root cause assigned,Current architecture contains no route objects; exact-Boolean mechanism audit passes,NOT AVAILABLE - SOURCE SCREENSHOT MISSING,07_RENDERING_AND_SCREENSHOTS/system_views/current CAD inspection views,Closed pack digitally represented; endpoint gate PASS,Open pack digitally represented; endpoint gate PASS,PASS; 0-80 degree one-degree sweep,09_VALIDATION/full_motion/full_motion_exact_boolean_summary.json,PENDING FRESH-CONTEXT REVIEW
3,8f568847-8298-4476-9075-19cdddbffe68.png,MISSING FROM ATTACHMENT AND BOUNDED WORKSPACE SEARCH,Broken/malformed pressure routing,NOT DETERMINABLE FROM ABSENT IMAGE,Global current-model family audit completed; exact pictured root cause cannot be reconstructed,Historical image unavailable; no unsupported root cause assigned,Current architecture contains no route objects; exact-Boolean mechanism audit passes,NOT AVAILABLE - SOURCE SCREENSHOT MISSING,07_RENDERING_AND_SCREENSHOTS/system_views/current CAD inspection views,Closed pack digitally represented; endpoint gate PASS,Open pack digitally represented; endpoint gate PASS,PASS; 0-80 degree one-degree sweep,09_VALIDATION/full_motion/full_motion_exact_boolean_summary.json,PENDING FRESH-CONTEXT REVIEW
4,faecb194-4586-4b54-8db3-35a258be47d1.png,MISSING FROM ATTACHMENT AND BOUNDED WORKSPACE SEARCH,Broken/malformed pressure routing,NOT DETERMINABLE FROM ABSENT IMAGE,Global current-model family audit completed; exact pictured root cause cannot be reconstructed,Historical image unavailable; no unsupported root cause assigned,Current architecture contains no route objects; exact-Boolean mechanism audit passes,NOT AVAILABLE - SOURCE SCREENSHOT MISSING,07_RENDERING_AND_SCREENSHOTS/system_views/current CAD inspection views,Closed pack digitally represented; endpoint gate PASS,Open pack digitally represented; endpoint gate PASS,PASS; 0-80 degree one-degree sweep,09_VALIDATION/full_motion/full_motion_exact_boolean_summary.json,PENDING FRESH-CONTEXT REVIEW
5,903443cc-222f-4c0b-816d-e5d2dc8afc1b.png,MISSING FROM ATTACHMENT AND BOUNDED WORKSPACE SEARCH,Mandatory open-line/branch regression,NOT DETERMINABLE FROM ABSENT IMAGE,Global current-model family audit completed; exact pictured root cause cannot be reconstructed,Historical image unavailable; no unsupported root cause assigned,Current architecture contains no route objects; exact-Boolean mechanism audit passes,NOT AVAILABLE - SOURCE SCREENSHOT MISSING,07_RENDERING_AND_SCREENSHOTS/system_views/current CAD inspection views,Closed pack digitally represented; endpoint gate PASS,Open pack digitally represented; endpoint gate PASS,PASS; 0-80 degree one-degree sweep,09_VALIDATION/full_motion/full_motion_exact_boolean_summary.json,PENDING FRESH-CONTEXT REVIEW
6,1580eb42-bd8c-4640-a70e-e86d40090dd9.png,MISSING FROM ATTACHMENT AND BOUNDED WORKSPACE SEARCH,External routing loop,NOT DETERMINABLE FROM ABSENT IMAGE,Global current-model family audit completed; exact pictured root cause cannot be reconstructed,Historical image unavailable; no unsupported root cause assigned,Current architecture contains no route objects; exact-Boolean mechanism audit passes,NOT AVAILABLE - SOURCE SCREENSHOT MISSING,07_RENDERING_AND_SCREENSHOTS/system_views/current CAD inspection views,Closed pack digitally represented; endpoint gate PASS,Open pack digitally represented; endpoint gate PASS,PASS; 0-80 degree one-degree sweep,09_VALIDATION/full_motion/full_motion_exact_boolean_summary.json,PENDING FRESH-CONTEXT REVIEW
7,27ea92db-2d39-41af-80eb-56af5a3498ee.png,MISSING FROM ATTACHMENT AND BOUNDED WORKSPACE SEARCH,Distorted line geometry,NOT DETERMINABLE FROM ABSENT IMAGE,Global current-model family audit completed; exact pictured root cause cannot be reconstructed,Historical image unavailable; no unsupported root cause assigned,Current architecture contains no route objects; exact-Boolean mechanism audit passes,NOT AVAILABLE - SOURCE SCREENSHOT MISSING,07_RENDERING_AND_SCREENSHOTS/system_views/current CAD inspection views,Closed pack digitally represented; endpoint gate PASS,Open pack digitally represented; endpoint gate PASS,PASS; 0-80 degree one-degree sweep,09_VALIDATION/full_motion/full_motion_exact_boolean_summary.json,PENDING FRESH-CONTEXT REVIEW
8,31a1a846-287b-442a-af1b-061c9d5c3e0b.png,MISSING FROM ATTACHMENT AND BOUNDED WORKSPACE SEARCH,Distorted line geometry,NOT DETERMINABLE FROM ABSENT IMAGE,Global current-model family audit completed; exact pictured root cause cannot be reconstructed,Historical image unavailable; no unsupported root cause assigned,Current architecture contains no route objects; exact-Boolean mechanism audit passes,NOT AVAILABLE - SOURCE SCREENSHOT MISSING,07_RENDERING_AND_SCREENSHOTS/system_views/current CAD inspection views,Closed pack digitally represented; endpoint gate PASS,Open pack digitally represented; endpoint gate PASS,PASS; 0-80 degree one-degree sweep,09_VALIDATION/full_motion/full_motion_exact_boolean_summary.json,PENDING FRESH-CONTEXT REVIEW
9,098fa2cc-0d1f-48f1-b46c-45b246bc5795.png,MISSING FROM ATTACHMENT AND BOUNDED WORKSPACE SEARCH,Unconnected stubs/bulkhead penetrations,NOT DETERMINABLE FROM ABSENT IMAGE,Global current-model family audit completed; exact pictured root cause cannot be reconstructed,Historical image unavailable; no unsupported root cause assigned,Current architecture contains no route objects; exact-Boolean mechanism audit passes,NOT AVAILABLE - SOURCE SCREENSHOT MISSING,07_RENDERING_AND_SCREENSHOTS/system_views/current CAD inspection views,Closed pack digitally represented; endpoint gate PASS,Open pack digitally represented; endpoint gate PASS,PASS; 0-80 degree one-degree sweep,09_VALIDATION/full_motion/full_motion_exact_boolean_summary.json,PENDING FRESH-CONTEXT REVIEW
10,07f8923d-f301-46ff-a68a-02ac5f0fb590.png,MISSING FROM ATTACHMENT AND BOUNDED WORKSPACE SEARCH,Owner-approved open pack,Open pack softgoods/inflator/tether occurrences; exact image mapping not possible,Current DEPLOYED master contains the required open pack; mechanical credibility remains physical-test dependent,"Controlling owner intent, not a defect",Preserved separate closed STOWED and open DEPLOYED configurations,NOT AVAILABLE - SOURCE SCREENSHOT MISSING,07_RENDERING_AND_SCREENSHOTS/system_views/open_pack_overview.png,Closed pack digitally represented; endpoint gate PASS,Open pack digitally represented; endpoint gate PASS,PASS; 0-80 degree one-degree sweep,09_VALIDATION/full_motion/full_motion_exact_boolean_summary.json,PENDING FRESH-CONTEXT REVIEW
