audit_elapsed_seconds,broad_phase_solid_candidates,classification,exact_common_volume_mm3,name_a,name_b,occurrence_a,occurrence_b,state,status
0.007101,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_1,LINK_1,WP02-001,WP02-004,STOWED,PASS
0.006425,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_1,ARM_PIVOT_PIN_SET,WP02-001,WP02-009,STOWED,PASS
0.006815,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_1,ARM_LINK_PIN_SET,WP02-001,WP02-010,STOWED,PASS
0.004141,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_1,COVER_SEQUENCED_ARM_STOW_LATCH_SET,WP02-001,WP02-034,STOWED,PASS
0.001602,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_1,ARM_PIVOT_PIN_SET,WP02-004,WP02-009,STOWED,PASS
0.003056,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_1,ARM_LINK_PIN_SET,WP02-004,WP02-010,STOWED,PASS
0.003717,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_1,CROSSHEAD_LINK_PIN_SET,WP02-004,WP02-011,STOWED,PASS
0.011204,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_2,LINK_2,WP02-002,WP02-005,STOWED,PASS
0.014670,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_2,PIVOT_BUSHING_SET,WP02-002,WP02-008,STOWED,PASS
0.008133,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_2,ARM_PIVOT_PIN_SET,WP02-002,WP02-009,STOWED,PASS
0.009928,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_2,ARM_LINK_PIN_SET,WP02-002,WP02-010,STOWED,PASS
0.011626,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_2,VSM6_RETENTION_RING_SET,WP02-002,WP02-012,STOWED,PASS
0.007778,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_2,POWERTRAIN_CARTRIDGE_SPINE,WP02-002,WP02-013,STOWED,PASS
0.233576,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_2,BACKUP_SPRING_LHL625D12,WP02-002,WP02-025,STOWED,PASS
0.004706,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_2,BACKUP_SPRING_FIXED_REACTION_SEAT,WP02-002,WP02-026,STOWED,PASS
0.003622,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_2,BACKUP_SPRING_MOVING_SEAT,WP02-002,WP02-027,STOWED,PASS
0.012592,3,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_2,POSITIVE_LOCK_HOUSING_SET,WP02-002,WP02-030,STOWED,PASS
0.003573,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_2,POSITIVE_LOCK_PLUNGER_AND_WITNESS_SET,WP02-002,WP02-031,STOWED,PASS
