state_or_sample,occurrence_a,occurrence_b,common_volume_mm3,classification,status
ARM_0.0_THETA_1.0,ARM_1,WP01_SHELL_AND_MATCHED_COVER,0.0,NO_INTERFERENCE,PASS
ARM_120.0_THETA_1.0,ARM_2,WP01_SHELL_AND_MATCHED_COVER,0.0,NO_INTERFERENCE,PASS
ARM_240.0_THETA_1.0,ARM_3,WP01_SHELL_AND_MATCHED_COVER,0.0,NO_INTERFERENCE,PASS
ARM_0.0_THETA_10.0,ARM_1,WP01_SHELL_AND_MATCHED_COVER,0.0,NO_INTERFERENCE,PASS
ARM_120.0_THETA_10.0,ARM_2,WP01_SHELL_AND_MATCHED_COVER,0.0,NO_INTERFERENCE,PASS
ARM_240.0_THETA_10.0,ARM_3,WP01_SHELL_AND_MATCHED_COVER,0.0,NO_INTERFERENCE,PASS
ARM_0.0_THETA_25.0,ARM_1,WP01_SHELL_AND_MATCHED_COVER,0.0,NO_INTERFERENCE,PASS
ARM_120.0_THETA_25.0,ARM_2,WP01_SHELL_AND_MATCHED_COVER,0.0,NO_INTERFERENCE,PASS
ARM_240.0_THETA_25.0,ARM_3,WP01_SHELL_AND_MATCHED_COVER,0.0,NO_INTERFERENCE,PASS
ARM_0.0_THETA_50.0,ARM_1,WP01_SHELL_AND_MATCHED_COVER,0.0,NO_INTERFERENCE,PASS
ARM_120.0_THETA_50.0,ARM_2,WP01_SHELL_AND_MATCHED_COVER,0.0,NO_INTERFERENCE,PASS
ARM_240.0_THETA_50.0,ARM_3,WP01_SHELL_AND_MATCHED_COVER,0.0,NO_INTERFERENCE,PASS
ARM_0.0_THETA_75.0,ARM_1,WP01_SHELL_AND_MATCHED_COVER,0.0,NO_INTERFERENCE,PASS
ARM_120.0_THETA_75.0,ARM_2,WP01_SHELL_AND_MATCHED_COVER,0.0,NO_INTERFERENCE,PASS
ARM_240.0_THETA_75.0,ARM_3,WP01_SHELL_AND_MATCHED_COVER,0.0,NO_INTERFERENCE,PASS
ARM_0.0_THETA_80.0,ARM_1,WP01_SHELL_AND_MATCHED_COVER,0.0,NO_INTERFERENCE,PASS
ARM_120.0_THETA_80.0,ARM_2,WP01_SHELL_AND_MATCHED_COVER,0.0,NO_INTERFERENCE,PASS
ARM_240.0_THETA_80.0,ARM_3,WP01_SHELL_AND_MATCHED_COVER,0.0,NO_INTERFERENCE,PASS
STOWED/CONFIGURED,arm-to-WP01 shell at controlled endpoints; intermediate samples zero-volume,CLEARANCE_PAIR,0.0,CLEARANCE/TOLERANCE GATE,PASS
STOWED/CONFIGURED,arm-to-corresponding WP01 cover at controlled endpoints; intermediate samples zero-volume,CLEARANCE_PAIR,0.0,CLEARANCE/TOLERANCE GATE,PASS
STOWED/CONFIGURED,GS fixed body to HBD body,CLEARANCE_PAIR,0.0,CLEARANCE/TOLERANCE GATE,PASS
STOWED/CONFIGURED,GS fixed body to spring guide pushrod,CLEARANCE_PAIR,0.0,CLEARANCE/TOLERANCE GATE,PASS
STOWED/CONFIGURED,HBD body to spring guide pushrod,CLEARANCE_PAIR,0.0,CLEARANCE/TOLERANCE GATE,PASS
STOWED/CONFIGURED,backup spring wire to guide pushrod,CLEARANCE_PAIR,0.0,CLEARANCE/TOLERANCE GATE,PASS
STOWED/CONFIGURED,GS radial envelope to WP01 core r=18.0,CLEARANCE_PAIR,0.0,CLEARANCE/TOLERANCE GATE,PASS
STOWED/CONFIGURED,selected spring radial envelope to WP01 core r=18.0,CLEARANCE_PAIR,0.0,CLEARANCE/TOLERANCE GATE,PASS
STOWED/CONFIGURED,HBD used stroke to 25 mm nominal stroke after lost motion,CLEARANCE_PAIR,0.0,CLEARANCE/TOLERANCE GATE,PASS
