state,item,component,manufacturer,part_number,source_class,solid_count,face_count,edge_count,volume_mm3,xmin_mm,xmax_mm,ymin_mm,ymax_mm,zmin_mm,zmax_mm
STOWED,WP02-001,ARM_1,STINGRAY,STG-WP02-ARM-1,CUSTOM REGENERABLE CAD,1,64,172,98016.852773493,24.501752,47.202174,-11.000000,11.000000,615.000000,1095.129119
STOWED,WP02-002,ARM_2,STINGRAY,STG-WP02-ARM-2,CUSTOM REGENERABLE CAD,1,64,172,98016.852773493,-33.127366,-2.724596,15.719139,46.378282,615.000000,1095.129119
STOWED,WP02-003,ARM_3,STINGRAY,STG-WP02-ARM-3,CUSTOM REGENERABLE CAD,1,64,172,98016.852773493,-33.127366,-2.724596,-46.378282,-15.719139,615.000000,1095.129119
STOWED,WP02-004,LINK_1,STINGRAY,STG-WP02-LINK-1,CUSTOM REGENERABLE CAD,1,17,36,3165.328902710,21.019331,48.500000,-4.000000,4.000000,583.702428,666.494669
STOWED,WP02-005,LINK_2,STINGRAY,STG-WP02-LINK-2,CUSTOM REGENERABLE CAD,1,17,36,3165.328902710,-27.714102,-9.107585,17.827179,44.002232,583.702428,666.494669
STOWED,WP02-006,LINK_3,STINGRAY,STG-WP02-LINK-3,CUSTOM REGENERABLE CAD,1,17,36,3165.328902710,-27.714102,-9.107585,-44.002232,-17.827179,583.702428,666.494669
STOWED,WP02-007,COMMON_CROSSHEAD,STINGRAY,STG-WP02-007,CUSTOM REGENERABLE CAD,10,156,379,8197.345327115,-32.910254,48.500000,-47.002232,47.002232,574.202428,615.202428
STOWED,WP02-008,PIVOT_BUSHING_SET,STINGRAY,STG-WP02-008,CUSTOM REGENERABLE CAD,6,24,36,332.935936331,-33.856406,40.000000,-42.641016,42.641016,621.000000,629.000000
STOWED,WP02-009,ARM_PIVOT_PIN_SET,STINGRAY,STG-WP02-009,CUSTOM REGENERABLE CAD,3,27,36,3165.226176539,-36.271470,40.500000,-42.274991,44.324029,620.500000,629.500000
STOWED,WP02-010,ARM_LINK_PIN_SET,STINGRAY,STG-WP02-010,CUSTOM REGENERABLE CAD,3,27,36,2316.996160069,-32.246760,41.110834,-40.303989,42.353027,655.494669,664.494669
STOWED,WP02-011,CROSSHEAD_LINK_PIN_SET,STINGRAY,STG-WP02-011,CUSTOM REGENERABLE CAD,3,27,36,2316.996160069,-34.941343,46.500000,-44.971143,47.020181,585.702428,594.702428
STOWED,WP02-012,VSM6_RETENTION_RING_SET,Smalley,VSM-6-S16-PA,MANUFACTURER-DRAWING-DERIVED; NOT AUTHENTIC VENDOR CAD,9,54,108,18.553277997,-33.870422,45.040761,-44.791443,33.371443,586.927428,663.269669
STOWED,WP02-013,POWERTRAIN_CARTRIDGE_SPINE,STINGRAY,STG-WP02-013,CUSTOM REGENERABLE CAD,12,69,135,8384.873063587,-17.750000,14.454970,-17.750000,17.553125,538.000000,970.000000
STOWED,WP02-014,CROSSHEAD_GUIDE_ROD_SET,STINGRAY,STG-WP02-014,CUSTOM REGENERABLE CAD,6,18,18,1267.067149046,-10.378708,6.844272,-17.116904,15.468770,532.000000,618.000000
STOWED,WP02-015,GS19_FIXED_BODY_EXACT_VENDOR_BREP,ACE Controls,GS-19-50-V4A-B8-B8,AUTHENTIC VENDOR CAD; UNCHANGED BREP EXCEPT BOOLEAN DECOMPOSITION AT REAL PRISMATIC JOINT,1,22,42,32771.591105632,-1.200000,17.800000,-9.500000,9.500000,616.000000,740.000000
STOWED,WP02-016,GS19_MOVING_ROD_EXACT_VENDOR_BREP,ACE Controls,GS-19-50-V4A-B8-B8,AUTHENTIC VENDOR CAD; UNCHANGED BREP EXCEPT BOOLEAN DECOMPOSITION AT REAL PRISMATIC JOINT,1,6,12,3008.422635399,4.300000,12.300000,-4.000000,4.000000,600.202428,660.202428
STOWED,WP02-017,GS19_FIXED_ANCHOR,STINGRAY,STG-WP02-017,CUSTOM REGENERABLE CAD,1,7,11,710.102826871,1.100000,15.500000,-7.200000,7.200000,730.200000,741.900000
STOWED,WP02-018,GS19_MOVING_ADAPTER,STINGRAY,STG-WP02-018,CUSTOM REGENERABLE CAD,2,15,35,1005.148243075,2.800000,13.800000,-5.500000,5.500000,585.202428,611.702428
STOWED,WP02-019,HBD15_BODY_DRAWING_DERIVED,ACE Controls,HBD-15-25-AA-P,MANUFACTURER-DRAWING-DERIVED; NOT AUTHENTIC VENDOR CAD,1,11,22,14872.355109129,-16.700000,-1.700000,-7.500000,7.500000,637.628038,732.628038
STOWED,WP02-020,HBD15_ROD_DRAWING_DERIVED,ACE Controls,HBD-15-25-AA-P,MANUFACTURER-DRAWING-DERIVED; NOT AUTHENTIC VENDOR CAD,1,8,15,1728.630812036,-15.200000,-3.200000,-4.500000,4.500000,599.002428,642.628038
STOWED,WP02-021,HBD_MOVING_LOST_MOTION_COUPLER,STINGRAY,STG-WP02-021,CUSTOM REGENERABLE CAD,4,31,69,1030.036800465,-16.600000,-3.700000,-8.000000,8.000000,598.202428,616.702428
STOWED,WP02-022,HBD_CAPTIVE_BYPASS_CARRIAGE,STINGRAY,STG-WP02-022,CUSTOM REGENERABLE CAD,4,24,48,1159.468844171,-14.600000,-3.800000,-12.000000,12.000000,717.628038,738.128038
STOWED,WP02-023,HBD_BYPASS_RAIL_AND_SHOULDER_SET,STINGRAY,STG-WP02-023,CUSTOM REGENERABLE CAD,6,18,18,1621.061809252,-15.700000,-2.700000,-10.000000,10.000000,631.628038,740.628038
STOWED,WP02-024,HBD_BYPASS_DETENT_SET,STINGRAY,STG-WP02-024,CUSTOM REGENERABLE CAD,2,12,18,48.114538687,-17.200000,-14.650000,-5.250000,5.250000,735.128038,738.628038
STOWED,WP02-025,BACKUP_SPRING_LHL625D12,Lee Spring,LHL 625D 12,MANUFACTURER-CATALOG-DERIVED; AUTHENTIC CAD DOWNLOAD NOT RETRIEVED,1,3,3,13047.351396470,-7.620006,7.620006,2.379988,17.619995,812.150000,964.850000
STOWED,WP02-026,BACKUP_SPRING_FIXED_REACTION_SEAT,STINGRAY,STG-WP02-026,CUSTOM REGENERABLE CAD,2,11,21,1178.024731708,-8.949207,7.550000,-11.910829,17.550000,940.000000,969.700000
STOWED,WP02-027,BACKUP_SPRING_MOVING_SEAT,STINGRAY,STG-WP02-027,CUSTOM REGENERABLE CAD,2,8,12,983.105657671,-7.550000,7.550000,2.450000,17.550000,787.000000,812.000000
STOWED,WP02-028,BACKUP_SPRING_GUIDE_PUSHROD,STINGRAY,STG-WP02-028,CUSTOM REGENERABLE CAD,2,7,9,5832.712789854,-4.500000,4.500000,5.500000,14.500000,610.202428,812.000000
STOWED,WP02-029,DEPLOYED_STOP_PAD_SET,STINGRAY,STG-WP02-029,CUSTOM REGENERABLE CAD,3,18,36,157.500000000,-31.509983,45.266445,-44.326892,35.826892,609.011144,612.833808
STOWED,WP02-030,POSITIVE_LOCK_HOUSING_SET,STINGRAY,STG-WP02-030,CUSTOM REGENERABLE CAD,9,42,72,494.576050748,-38.634243,49.555674,-50.916472,50.916472,621.649658,631.649658
STOWED,WP02-031,POSITIVE_LOCK_PLUNGER_AND_WITNESS_SET,STINGRAY,STG-WP02-031,CUSTOM REGENERABLE CAD,6,18,18,774.151261698,-43.548345,52.455674,-55.427946,38.427946,623.649658,629.649658
STOWED,WP02-032,CROSSHEAD_SEAR,STINGRAY,STG-WP02-032,CUSTOM REGENERABLE CAD,1,3,3,171.907950004,-2.400000,2.400000,-17.000000,-7.500000,579.802428,584.602428
STOWED,WP02-033,CROSSHEAD_SEAR_HOUSING,STINGRAY,STG-WP02-033,CUSTOM REGENERABLE CAD,7,74,172,135.222534971,-4.200000,7.248107,-17.200000,-10.500000,578.002428,586.402428
STOWED,WP02-034,COVER_SEQUENCED_ARM_STOW_LATCH_SET,STINGRAY,STG-WP02-034,CUSTOM REGENERABLE CAD,3,48,105,444.541171226,-27.565064,50.800000,-45.244091,45.244091,1056.433747,1068.733747
DEPLOYED,WP02-001,ARM_1,STINGRAY,STG-WP02-ARM-1,CUSTOM REGENERABLE CAD,1,64,172,98016.852773493,26.000000,499.380588,-11.000000,11.000000,615.000000,717.939933
DEPLOYED,WP02-002,ARM_2,STINGRAY,STG-WP02-ARM-2,CUSTOM REGENERABLE CAD,1,64,172,98016.852773493,-259.216574,-3.473721,17.016660,437.976276,615.000000,717.939933
