arm_angle_deg,arm_plane_deg,symmetry_execution_sector_deg,door_state,arm_shell_common_volume_mm3,arm_shell_minimum_distance_mm,arm_cover_common_volume_mm3,arm_cover_minimum_distance_mm,status
1.0,0.0,0.0,CLOSED,0.0,0.8708806024674232,0.0,0.833050015454408,PASS
1.0,120.0,0.0,CLOSED,0.0,0.8708806024674232,0.0,0.833050015454408,PASS
1.0,240.0,0.0,CLOSED,0.0,0.8708806024674232,0.0,0.833050015454408,PASS
10.0,0.0,0.0,OPEN_90_DEG_BEFORE_ARM_MOTION,0.0,,0.0,,PASS
10.0,120.0,0.0,OPEN_90_DEG_BEFORE_ARM_MOTION,0.0,,0.0,,PASS
10.0,240.0,0.0,OPEN_90_DEG_BEFORE_ARM_MOTION,0.0,,0.0,,PASS
25.0,0.0,0.0,OPEN_90_DEG_BEFORE_ARM_MOTION,0.0,,0.0,,PASS
25.0,120.0,0.0,OPEN_90_DEG_BEFORE_ARM_MOTION,0.0,,0.0,,PASS
25.0,240.0,0.0,OPEN_90_DEG_BEFORE_ARM_MOTION,0.0,,0.0,,PASS
50.0,0.0,0.0,OPEN_90_DEG_BEFORE_ARM_MOTION,0.0,,0.0,,PASS
50.0,120.0,0.0,OPEN_90_DEG_BEFORE_ARM_MOTION,0.0,,0.0,,PASS
50.0,240.0,0.0,OPEN_90_DEG_BEFORE_ARM_MOTION,0.0,,0.0,,PASS
75.0,0.0,0.0,OPEN_90_DEG_BEFORE_ARM_MOTION,0.0,,0.0,,PASS
75.0,120.0,0.0,OPEN_90_DEG_BEFORE_ARM_MOTION,0.0,,0.0,,PASS
75.0,240.0,0.0,OPEN_90_DEG_BEFORE_ARM_MOTION,0.0,,0.0,,PASS
80.0,0.0,0.0,OPEN_90_DEG_BEFORE_ARM_MOTION,0.0,2.1172567391945574,0.0,3.9755576560419748,PASS
80.0,120.0,0.0,OPEN_90_DEG_BEFORE_ARM_MOTION,0.0,2.1172567391945574,0.0,3.9755576560419748,PASS
80.0,240.0,0.0,OPEN_90_DEG_BEFORE_ARM_MOTION,0.0,2.1172567391945574,0.0,3.9755576560419748,PASS
