legacy_id,final_full_display_name,creo_safe_name,actual_part_number,make_buy,material,subsystem,occurrence_naming_rule,traceability_property,abbreviation_reason
DF8-R2-BOOSTER-RESERVOIR-001,13_OD_X_11_ID_X_430_BOOSTER_RESERVOIR_WITH_END_BOSSES_SS,13_OD_X_11_ID_X_430_BO_BB63C750,,MAKE,316 stainless steel,Forward_Body_Assembly,base name + _01.._03,LEGACY_ID=DF8-R2-BOOSTER-RESERVOIR-001;SOURCE_ID=DF8-R2-BOOSTER-RESERVOIR-001,Deterministic 31-character Creo filename limit
DF8-R2-SHORT-LINK-001,19.950_MM_CENTER-DISTANCE_REAMED_SHORT_LINK_SS,19.950_MM_CENTER-DISTA_D87B419A,,MAKE,17-4PH stainless steel,Arm_Activation_Powertrain_Assembly,base name + _01.._06,LEGACY_ID=DF8-R2-SHORT-LINK-001;SOURCE_ID=DF8-R2-SHORT-LINK-001,Deterministic 31-character Creo filename limit
DF8-R2-ACTUATOR-E-RING-004,4_MM_ACTUATOR_PIN_RETAINER_SS,4_MM_ACTUATOR_PIN_RETAINER_SS,,MAKE,1.4310 stainless spring steel,Arm_Activation_Powertrain_Assembly,base name + _01.._04,LEGACY_ID=DF8-R2-ACTUATOR-E-RING-004;SOURCE_ID=DF8-R2-ACTUATOR-E-RING-004,
DF8-R2-ACTUATOR-PIN-004,4_MM_CAPTIVE_ACTUATOR_CLEVIS_PIN_SS,4_MM_CAPTIVE_ACTUATOR_511143BF,,MAKE,17-4PH stainless steel,Arm_Activation_Powertrain_Assembly,base name + _01.._04,LEGACY_ID=DF8-R2-ACTUATOR-PIN-004;SOURCE_ID=DF8-R2-ACTUATOR-PIN-004,Deterministic 31-character Creo filename limit
DF8-R2-LINK-PIN-004,4_MM_FULL-SPAN_LINK_PIN_WITH_DC-4SS_RETAINER_GROOVE_SS,4_MM_FULL-SPAN_LINK_PI_AB5403EF,,MAKE,17-4PH stainless steel,Arm_Activation_Powertrain_Assembly,base name + _01.._06,LEGACY_ID=DF8-R2-LINK-PIN-004;SOURCE_ID=DF8-R2-LINK-PIN-004,Deterministic 31-character Creo filename limit
WP04-LATCH-SEAR-E-RING-R2,4_MM_SEAR_PIN_EXTERNAL_RETAINING_RING_SS,4_MM_SEAR_PIN_EXTERNAL_58132833,,MAKE,1.4310 stainless spring steel,Aft_Service_Closure_Assembly,base name,LEGACY_ID=WP04-LATCH-SEAR-E-RING-R2;SOURCE_ID=WP04-LATCH-SEAR-E-RING-R2,Deterministic 31-character Creo filename limit
DF8-R2-BUOY-GORE-01,60_L_BUOY_GORE_1_OF_8_TPU,60_L_BUOY_GORE_1_OF_8_TPU,,MAKE,TPU-coated nylon,Aft_Service_Closure_Assembly,base name,LEGACY_ID=DF8-R2-BUOY-GORE-01;SOURCE_ID=DF8-R2-BUOY-GORE-01,
DF8-R2-BUOY-GORE-02,60_L_BUOY_GORE_2_OF_8_TPU,60_L_BUOY_GORE_2_OF_8_TPU,,MAKE,TPU-coated nylon,Aft_Service_Closure_Assembly,base name,LEGACY_ID=DF8-R2-BUOY-GORE-02;SOURCE_ID=DF8-R2-BUOY-GORE-02,
DF8-R2-BUOY-GORE-03,60_L_BUOY_GORE_3_OF_8_TPU,60_L_BUOY_GORE_3_OF_8_TPU,,MAKE,TPU-coated nylon,Aft_Service_Closure_Assembly,base name,LEGACY_ID=DF8-R2-BUOY-GORE-03;SOURCE_ID=DF8-R2-BUOY-GORE-03,
DF8-R2-BUOY-GORE-04,60_L_BUOY_GORE_4_OF_8_TPU,60_L_BUOY_GORE_4_OF_8_TPU,,MAKE,TPU-coated nylon,Aft_Service_Closure_Assembly,base name,LEGACY_ID=DF8-R2-BUOY-GORE-04;SOURCE_ID=DF8-R2-BUOY-GORE-04,
DF8-R2-BUOY-GORE-05,60_L_BUOY_GORE_5_OF_8_TPU,60_L_BUOY_GORE_5_OF_8_TPU,,MAKE,TPU-coated nylon,Aft_Service_Closure_Assembly,base name,LEGACY_ID=DF8-R2-BUOY-GORE-05;SOURCE_ID=DF8-R2-BUOY-GORE-05,
DF8-R2-BUOY-GORE-06,60_L_BUOY_GORE_6_OF_8_TPU,60_L_BUOY_GORE_6_OF_8_TPU,,MAKE,TPU-coated nylon,Aft_Service_Closure_Assembly,base name,LEGACY_ID=DF8-R2-BUOY-GORE-06;SOURCE_ID=DF8-R2-BUOY-GORE-06,
DF8-R2-BUOY-GORE-07,60_L_BUOY_GORE_7_OF_8_TPU,60_L_BUOY_GORE_7_OF_8_TPU,,MAKE,TPU-coated nylon,Aft_Service_Closure_Assembly,base name,LEGACY_ID=DF8-R2-BUOY-GORE-07;SOURCE_ID=DF8-R2-BUOY-GORE-07,
DF8-R2-BUOY-GORE-08,60_L_BUOY_GORE_8_OF_8_TPU,60_L_BUOY_GORE_8_OF_8_TPU,,MAKE,TPU-coated nylon,Aft_Service_Closure_Assembly,base name,LEGACY_ID=DF8-R2-BUOY-GORE-08;SOURCE_ID=DF8-R2-BUOY-GORE-08,
DF8-R2-RECOVERY-PIN-006,6_MM_CAPTIVE_RECOVERY_TERMINAL_PIN_WITH_RETAINER_GROOVE_SS,6_MM_CAPTIVE_RECOVERY_E01E7839,,MAKE,17-4PH stainless steel,Aft_Service_Closure_Assembly,base name + _01.._02,LEGACY_ID=DF8-R2-RECOVERY-PIN-006;SOURCE_ID=DF8-R2-RECOVERY-PIN-006,Deterministic 31-character Creo filename limit
DF8-R2-RECOVERY-E-RING-006,6_MM_RECOVERY_PIN_EXTERNAL_RETAINER_SS,6_MM_RECOVERY_PIN_EXTE_50BCE6E4,,MAKE,1.4310 stainless spring steel,Aft_Service_Closure_Assembly,base name + _01.._02,LEGACY_ID=DF8-R2-RECOVERY-E-RING-006;SOURCE_ID=DF8-R2-RECOVERY-E-RING-006,Deterministic 31-character Creo filename limit
