occurrence_id,classification,present_stowed,present_deployed,same_part_number,stable_part_definition_match,parent_assembly_path_match,part_occurrence_quantity_match,state_membership_match,stowed_transform_authority_max_error,deployed_transform_authority_max_error,state_transform_max_abs_delta,transform_authority_match,fixed_transform_stable,transform_state_behavior,transform_error,stowed_solid_count,deployed_solid_count,stowed_face_count,deployed_face_count,volume_delta_mm3,stowed_local_brep_sha256,deployed_local_brep_sha256,local_bbox_max_abs_delta_mm,surface_type_counts_match,serialized_local_brep_match,exact_common_status,exact_common_volume_mm3,stowed_minus_common_mm3,deployed_minus_common_mm3,exact_common_volume_tolerance_mm3,exact_common_full_volume_equivalent,exact_geometry_equivalent,geometry_equivalence_basis,exact_common_error,fingerprint_error,flexible_state_geometry_exception,status
AFT-LONGERON-1,FIXED,True,True,True,True,True,True,True,1.8984813721090177e-13,1.8984813721090177e-13,0.0,True,True,FIXED_UNCHANGED,,1,1,8,8,0.0,93278d4d451b9038e6aff4c1a6f930f6610f23081dc8e7a23c3a82b9f3a23f80,93278d4d451b9038e6aff4c1a6f930f6610f23081dc8e7a23c3a82b9f3a23f80,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
AFT-LONGERON-2,FIXED,True,True,True,True,True,True,True,3.5326177411928435e-29,3.5326177411928435e-29,0.0,True,True,FIXED_UNCHANGED,,1,1,8,8,0.0,93278d4d451b9038e6aff4c1a6f930f6610f23081dc8e7a23c3a82b9f3a23f80,93278d4d451b9038e6aff4c1a6f930f6610f23081dc8e7a23c3a82b9f3a23f80,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
AFT-LONGERON-3,FIXED,True,True,True,True,True,True,True,1.8984813721090177e-13,1.8984813721090177e-13,0.0,True,True,FIXED_UNCHANGED,,1,1,8,8,0.0,93278d4d451b9038e6aff4c1a6f930f6610f23081dc8e7a23c3a82b9f3a23f80,93278d4d451b9038e6aff4c1a6f930f6610f23081dc8e7a23c3a82b9f3a23f80,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
AFT-ROUTE-RING-001,FIXED,True,True,True,True,True,True,True,0.0,0.0,0.0,True,True,FIXED_UNCHANGED,,1,1,9,9,0.0,b24d82b402b865e193292964490b2580f827b5706ed6b80dc5d01eb4005ce477,b24d82b402b865e193292964490b2580f827b5706ed6b80dc5d01eb4005ce477,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
AFT-SHELL-001,FIXED,True,True,True,True,True,True,True,0.0,0.0,0.0,True,True,FIXED_UNCHANGED,,1,1,53,53,0.0,45ae648dab12e66eb529a60b782824979b6faaabb853ec32bca70687ccf43c61,45ae648dab12e66eb529a60b782824979b6faaabb853ec32bca70687ccf43c61,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
ARM-1,MOVING,True,True,True,True,True,True,True,0.0,1.0308420783644578e-13,0.9848077530121899,True,True,MOVING_STATE_TRANSFORM_CHANGED,,1,1,199,199,0.0,e1fac1cead681ce43818e5f2ebe6d5b5099c084366c17ff8b9ca23d34526bf1f,e1fac1cead681ce43818e5f2ebe6d5b5099c084366c17ff8b9ca23d34526bf1f,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
ARM-2,MOVING,True,True,True,True,True,True,True,1.9018120411828932e-13,2.631367346239699e-13,0.9848077530121832,True,True,MOVING_STATE_TRANSFORM_CHANGED,,1,1,199,199,3.2741809263825417e-11,e1fac1cead681ce43818e5f2ebe6d5b5099c084366c17ff8b9ca23d34526bf1f,e1fac1cead681ce43818e5f2ebe6d5b5099c084366c17ff8b9ca23d34526bf1f,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
ARM-3,MOVING,True,True,True,True,True,True,True,1.8951507030351422e-13,2.630118345336996e-13,0.9848077530121832,True,True,MOVING_STATE_TRANSFORM_CHANGED,,1,1,199,199,-1.8189894035458565e-11,e1fac1cead681ce43818e5f2ebe6d5b5099c084366c17ff8b9ca23d34526bf1f,e1fac1cead681ce43818e5f2ebe6d5b5099c084366c17ff8b9ca23d34526bf1f,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
ARM-LONGERON-1,FIXED,True,True,True,True,True,True,True,1.8984813721090177e-13,1.8984813721090177e-13,0.0,True,True,FIXED_UNCHANGED,,1,1,8,8,0.0,6a02720a1d34304466c8ecde001c1668fffca82146794c09384975484a353d75,6a02720a1d34304466c8ecde001c1668fffca82146794c09384975484a353d75,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
ARM-LONGERON-2,FIXED,True,True,True,True,True,True,True,3.5326177411928435e-29,3.5326177411928435e-29,0.0,True,True,FIXED_UNCHANGED,,1,1,8,8,0.0,6a02720a1d34304466c8ecde001c1668fffca82146794c09384975484a353d75,6a02720a1d34304466c8ecde001c1668fffca82146794c09384975484a353d75,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
