port,face,diameter_mm,axis,internal_destination,pre,post,connected_hardware
CARTRIDGE-1,FORWARD,4.40,+Z,GALLERY-1 TO CENTRAL GALLERY,THROUGH-OPEN,BLIND / INTERSECTING,PUNCTURE-HEAD-1
CARTRIDGE-2,FORWARD,4.40,+Z,GALLERY-2 TO CENTRAL GALLERY,THROUGH-OPEN,BLIND / INTERSECTING,PUNCTURE-HEAD-2
CARTRIDGE-3,FORWARD,4.40,+Z,GALLERY-3 TO CENTRAL GALLERY,THROUGH-OPEN,BLIND / INTERSECTING,PUNCTURE-HEAD-3
CARTRIDGE-4,FORWARD,4.40,+Z,GALLERY-4 TO CENTRAL GALLERY,THROUGH-OPEN,BLIND / INTERSECTING,PUNCTURE-HEAD-4
GALLERY-1,INTERNAL,2.40,RADIAL-DIAGONAL,CENTRAL GALLERY,N/A,INTERSECTING,INTEGRAL PASSAGE
GALLERY-2,INTERNAL,2.40,RADIAL-DIAGONAL,CENTRAL GALLERY,N/A,INTERSECTING,INTEGRAL PASSAGE
GALLERY-3,INTERNAL,2.40,RADIAL-DIAGONAL,CENTRAL GALLERY,N/A,INTERSECTING,INTEGRAL PASSAGE
GALLERY-4,INTERNAL,2.40,RADIAL-DIAGONAL,CENTRAL GALLERY,N/A,INTERSECTING,INTEGRAL PASSAGE
BOOSTER-1,AFT,2.20,-Z,CENTRAL GALLERY,THROUGH-OPEN,AFT-ONLY / INTERSECTING,BOOSTER-COLLECTION-LINE-1
BOOSTER-2,AFT,2.20,-Z,CENTRAL GALLERY,THROUGH-OPEN,AFT-ONLY / INTERSECTING,BOOSTER-COLLECTION-LINE-2
BOOSTER-3,AFT,2.20,-Z,CENTRAL GALLERY,THROUGH-OPEN,AFT-ONLY / INTERSECTING,BOOSTER-COLLECTION-LINE-3
FULLFLOW-OUT,AFT,2.02,-Z,CENTRAL GALLERY,THROUGH-OPEN,AFT-ONLY / INTERSECTING,ROUTE-MANIFOLD-FEED-001
