sample_index,angle_deg,occurrence_a,solid_index_a,variant_a,part_number_a,occurrence_b,solid_index_b,variant_b,part_number_b,aabb_overlap,aabb_gap_mm,exact_common_status,common_volume_mm3,documented_positive_volume_exception,intentional_fit_exception_id,exact_distance_status,exact_clearance_mm,result,error
1,0,ARM-1,1,STOWED,DF8-R2-ARM-BLADE-001,ARM-STOP-SCREW-1-1,1,STOWED,SSCA-M3-8-A4-BL,True,0.0,DONE,6.479534848029078,True,FIT-THREAD-ARM-STOP-1-1,ZERO_BY_POSITIVE_COMMON,0.0,DOCUMENTED_POSITIVE_VOLUME,
1,0,ARM-1,1,STOWED,DF8-R2-ARM-BLADE-001,ARM-STOP-SCREW-1-2,1,STOWED,SSCA-M3-8-A4-BL,True,0.0,DONE,6.40184087736295,True,FIT-THREAD-ARM-STOP-1-2,ZERO_BY_POSITIVE_COMMON,0.0,DOCUMENTED_POSITIVE_VOLUME,
1,0,ARM-2,1,STOWED,DF8-R2-ARM-BLADE-001,ARM-STOP-SCREW-2-1,1,STOWED,SSCA-M3-8-A4-BL,True,0.0,DONE,6.479534848029349,True,FIT-THREAD-ARM-STOP-2-1,ZERO_BY_POSITIVE_COMMON,0.0,DOCUMENTED_POSITIVE_VOLUME,
1,0,ARM-2,1,STOWED,DF8-R2-ARM-BLADE-001,ARM-STOP-SCREW-2-2,1,STOWED,SSCA-M3-8-A4-BL,True,0.0,DONE,6.40184087738241,True,FIT-THREAD-ARM-STOP-2-2,ZERO_BY_POSITIVE_COMMON,0.0,DOCUMENTED_POSITIVE_VOLUME,
1,0,ARM-3,1,STOWED,DF8-R2-ARM-BLADE-001,ARM-STOP-SCREW-3-1,1,STOWED,SSCA-M3-8-A4-BL,True,0.0,DONE,6.4795348480257,True,FIT-THREAD-ARM-STOP-3-1,ZERO_BY_POSITIVE_COMMON,0.0,DOCUMENTED_POSITIVE_VOLUME,
1,0,ARM-3,1,STOWED,DF8-R2-ARM-BLADE-001,ARM-STOP-SCREW-3-2,1,STOWED,SSCA-M3-8-A4-BL,True,0.0,DONE,6.4018408773603745,True,FIT-THREAD-ARM-STOP-3-2,ZERO_BY_POSITIVE_COMMON,0.0,DOCUMENTED_POSITIVE_VOLUME,
1,0,BACKUP-SPRING-001,1,EXACT_KINEMATIC_00,DF8-R2-BACKUP-SPRING-16N-001,BOOSTER-COLLECTION-LINE-3,1,STOWED,DF8-R2-BOOSTER-COLLECTION-LINE-001,True,0.0,DONE,100.78114466506533,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
1,0,BACKUP-SPRING-MOVING-SEAT,1,STOWED,DF8-R2-BACKUP-SPRING-MOVING-SEAT-001,BOOSTER-COLLECTION-LINE-3,1,STOWED,DF8-R2-BOOSTER-COLLECTION-LINE-001,True,0.0,DONE,9.071348787240332,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
1,0,BOOSTER-1,1,STOWED,DF8-R2-BOOSTER-RESERVOIR-001,FULLFLOW-VALVE-CIRCLIP-001,1,STOWED,HEC-10-A4,True,0.0,DONE,3.57968577120716,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
1,0,BOOSTER-1,1,STOWED,DF8-R2-BOOSTER-RESERVOIR-001,STOW-DOG-1,1,STOWED,DF8-R2-STOW-DOG-001,True,0.0,DONE,4.692534514165227,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
