sample_index,angle_deg,occurrence_a,solid_index_a,variant_a,part_number_a,occurrence_b,solid_index_b,variant_b,part_number_b,aabb_overlap,aabb_gap_mm,exact_common_status,common_volume_mm3,documented_positive_volume_exception,intentional_fit_exception_id,exact_distance_status,exact_clearance_mm,result,error
1,0,AFT-REPACK-SHELL-001,1,STOWED,DF8-FORWARD-ARM-AFT-REPACK-SHELL-001,ARM-1,1,STOWED,DF8-R2-ARM-BLADE-001,True,0.0,DONE,6428.474088410149,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
1,0,AFT-REPACK-SHELL-001,1,STOWED,DF8-FORWARD-ARM-AFT-REPACK-SHELL-001,ARM-2,1,STOWED,DF8-R2-ARM-BLADE-001,True,0.0,DONE,6428.474088410705,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
1,0,AFT-REPACK-SHELL-001,1,STOWED,DF8-FORWARD-ARM-AFT-REPACK-SHELL-001,ARM-3,1,STOWED,DF8-R2-ARM-BLADE-001,True,0.0,DONE,6428.474088403901,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
1,0,ARM-1,1,STOWED,DF8-R2-ARM-BLADE-001,ARM-STOP-SCREW-1-1,1,STOWED,SSCA-M3-8-A4-BL,True,0.0,DONE,6.479534848029117,True,FIT-THREAD-ARM-STOP-1-1,ZERO_BY_POSITIVE_COMMON,0.0,DOCUMENTED_POSITIVE_VOLUME,
1,0,ARM-1,1,STOWED,DF8-R2-ARM-BLADE-001,ARM-STOP-SCREW-1-2,1,STOWED,SSCA-M3-8-A4-BL,True,0.0,DONE,6.401840877365819,True,FIT-THREAD-ARM-STOP-1-2,ZERO_BY_POSITIVE_COMMON,0.0,DOCUMENTED_POSITIVE_VOLUME,
1,0,ARM-1,1,STOWED,DF8-R2-ARM-BLADE-001,ARM-TERMINATION-RING-001,1,STOWED,DF8-FORWARD-ARM-TERMINATION-RING-001,True,0.0,DONE,264.41738167729443,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
1,0,ARM-1,1,STOWED,DF8-R2-ARM-BLADE-001,BOOSTER-1,1,STOWED,DF8-R2-BOOSTER-RESERVOIR-001,True,0.0,DONE,0.0728077569438487,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
1,0,ARM-1,1,STOWED,DF8-R2-ARM-BLADE-001,BOOSTER-CLAMP-SCREW-1-1,1,STOWED,SSCF-M3-10-A4,True,0.0,DONE,4.1749758029324875,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
1,0,ARM-1,1,STOWED,DF8-R2-ARM-BLADE-001,BOOSTER-CLAMP-SCREW-1-2,1,STOWED,SSCF-M3-10-A4,True,0.0,DONE,4.174975802933828,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
1,0,ARM-1,1,STOWED,DF8-R2-ARM-BLADE-001,BOOSTER-CLAMP-SCREW-1-3,1,STOWED,SSCF-M3-10-A4,True,0.0,DONE,4.174975802947215,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
1,0,ARM-1,1,STOWED,DF8-R2-ARM-BLADE-001,STOW-DOG-GUIDE-1,1,STOWED,DF8-R2-STOW-DOG-GUIDE-001,True,0.0,DONE,14.076000000000267,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
1,0,ARM-2,1,STOWED,DF8-R2-ARM-BLADE-001,ARM-STOP-SCREW-2-1,1,STOWED,SSCA-M3-8-A4-BL,True,0.0,DONE,6.4795348480293935,True,FIT-THREAD-ARM-STOP-2-1,ZERO_BY_POSITIVE_COMMON,0.0,DOCUMENTED_POSITIVE_VOLUME,
1,0,ARM-2,1,STOWED,DF8-R2-ARM-BLADE-001,ARM-STOP-SCREW-2-2,1,STOWED,SSCA-M3-8-A4-BL,True,0.0,DONE,6.401840877387901,True,FIT-THREAD-ARM-STOP-2-2,ZERO_BY_POSITIVE_COMMON,0.0,DOCUMENTED_POSITIVE_VOLUME,
1,0,ARM-2,1,STOWED,DF8-R2-ARM-BLADE-001,ARM-TERMINATION-RING-001,1,STOWED,DF8-FORWARD-ARM-TERMINATION-RING-001,True,0.0,DONE,264.41738167722013,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
1,0,ARM-2,1,STOWED,DF8-R2-ARM-BLADE-001,BOOSTER-2,1,STOWED,DF8-R2-BOOSTER-RESERVOIR-001,True,0.0,DONE,0.07280775694572172,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
1,0,ARM-2,1,STOWED,DF8-R2-ARM-BLADE-001,BOOSTER-CLAMP-SCREW-2-1,1,STOWED,SSCF-M3-10-A4,True,0.0,DONE,4.174975802932332,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
