arm_angle_deg,crosshead_travel_mm,spring_installed_length_mm,spring_force_n,gs_compression_mm,gs_force_nominal_n,combined_drive_force_n,mechanical_advantage_dx_dtheta_mm_per_rad
1.000000,0.000000,153.000000,597.882,23.074391,341.534,939.416,3.313027
5.937500,0.349738,153.349738,593.717,22.724652,340.904,934.621,4.804564
10.875000,0.828389,153.828389,588.016,22.246002,340.043,928.059,6.307079
15.812500,1.437454,154.437454,580.762,21.636937,338.946,919.708,7.833327
20.750000,2.179494,155.179494,571.924,20.894897,337.611,909.535,9.395079
25.687500,3.058031,156.058031,561.461,20.016360,336.029,897.490,11.002850
30.625000,4.077428,157.077428,549.320,18.996963,334.195,883.514,12.665519
35.562500,5.242722,158.242722,535.441,17.831668,332.097,867.538,14.389832
40.500000,6.559422,159.559422,519.759,16.514969,329.727,849.486,16.179762
45.437500,8.033226,161.033226,502.206,15.041164,327.074,829.280,18.035738
50.375000,9.669691,162.669691,482.716,13.404700,324.128,806.844,19.953747
55.312500,11.473798,164.473798,461.229,11.600593,320.881,782.110,21.924391
60.250000,13.449455,166.449455,437.699,9.624936,317.325,755.024,23.931957
65.187500,15.598914,168.598914,412.099,7.475477,313.456,725.555,25.953639
70.125000,17.922138,170.922138,384.429,5.152253,309.274,693.703,27.959080
75.062500,20.416148,173.416148,354.726,2.658243,304.785,659.511,29.910371
80.000000,23.074391,176.074391,323.066,0.000000,300.000,623.066,31.762686
