arm_angle_deg,attach_r_mm,attach_z_mm,crosshead_z_mm,crosshead_travel_mm,dx_dtheta_mm_per_rad,link_length_mm,joint_mismatch_mm
1.000000,36.610834,659.994669,590.202428,0.000000,3.313027,70.000000000,0.000000000000
2.000000,37.221482,659.978679,590.141971,0.060457,3.614869,70.000000000,0.000000000000
5.000000,39.050451,659.866814,589.928984,0.273445,4.520920,70.000000000,0.000000000000
10.000000,42.077686,659.468271,589.468314,0.734114,6.039433,70.000000000,0.000000000000
15.000000,45.058667,658.807404,588.874260,1.328168,7.580032,70.000000000,0.000000000000
20.000000,47.970705,657.889242,588.144345,2.058084,9.155130,70.000000000,0.000000000000
25.000000,50.791639,656.720773,587.275059,2.927369,10.775875,70.000000000,0.000000000000
30.000000,53.500000,655.310889,586.261993,3.940435,12.451763,70.000000000,0.000000000000
40.000000,58.497566,651.811556,583.783397,6.419031,15.995473,70.000000000,0.000000000000
50.000000,62.811556,647.497566,580.662851,9.539577,19.806074,70.000000000,0.000000000000
60.000000,66.310889,642.500000,576.857174,13.345255,23.829746,70.000000000,0.000000000000
70.000000,68.889242,636.970705,572.341233,17.861196,27.908802,70.000000000,0.000000000000
75.000000,69.807404,634.058667,569.818895,20.383534,29.886188,70.000000000,0.000000000000
80.000000,70.468271,631.077686,567.128038,23.074391,31.762686,70.000000000,0.000000000000
