name,baseline_occurrence_ids,baseline_min_z_mm,baseline_max_z_mm,baseline_centroid_z_mm,new_occurrence_ids,new_min_z_mm,new_max_z_mm,new_centroid_z_mm,translation_mm,orientation_change,retained_removed,centroid_basis,reason
FORWARD BALLAST,BALLAST-001,170.000000,336.000000,253.017835,BALLAST-001,170.000000,336.000000,253.017835,0.000000,NONE,RETAINED/REPLACED,MASS_WEIGHTED_EXACT_OCCURRENCE_CENTROID,Fixed source authority
ARM CARRIER,PIVOT-CARRIER-1;PIVOT-CARRIER-2;PIVOT-CARRIER-3,469.000000,488.000000,478.461689,PIVOT-CARRIER-1;PIVOT-CARRIER-2;PIVOT-CARRIER-3;PIVOT-CARRIER-1-SECONDARY;PIVOT-CARRIER-2-SECONDARY;PIVOT-CARRIER-3-SECONDARY,344.000000,363.000000,353.461689,-125.000000,NONE,RETAINED/REPLACED,MASS_WEIGHTED_EXACT_OCCURRENCE_CENTROID,Coordinated carrier relocation to the first structural station aft of ballast
PIVOT AXES,PIVOT-PIN-1;PIVOT-PIN-2;PIVOT-PIN-3,475.600000,484.400000,480.000000,PIVOT-PIN-1;PIVOT-PIN-2;PIVOT-PIN-3,350.600000,359.400000,355.000000,-125.000000,NONE,RETAINED/REPLACED,MASS_WEIGHTED_EXACT_OCCURRENCE_CENTROID,Exact pivot-axis translation from Z=480.000 to Z=355.000 mm
COMMON CROSSHEAD,CROSSHEAD-001,503.526363,512.526363,508.026363,CROSSHEAD-001,378.526363,387.526363,383.026363,-125.000000,NONE,RETAINED/REPLACED,MASS_WEIGHTED_EXACT_OCCURRENCE_CENTROID,Moved as one mechanism; source kinematics retained
ACE GS-19,GS19-BODY-001,540.000000,658.000000,593.657434,GS19-BODY-001,415.000000,533.000000,468.864361,-124.793073,NONE,RETAINED/REPLACED,MASS_WEIGHTED_EXACT_OCCURRENCE_CENTROID,Fixed body and moving rod sense retained; long body trails aft
ACE HBD-15,HBD-BODY-001,540.000000,647.500000,589.044636,HBD-BODY-001,415.000000,522.500000,464.278521,-124.766115,NONE,RETAINED/REPLACED,MASS_WEIGHTED_EXACT_OCCURRENCE_CENTROID,Fixed body and moving rod sense retained; damping direction unchanged
BACKUP SPRING,BACKUP-SPRING-001;BACKUP-SPRING-GUIDE;BACKUP-SPRING-FIXED-SEAT;BACKUP-SPRING-MOVING-SEAT,478.250000,665.276363,582.767048,BACKUP-SPRING-001;BACKUP-SPRING-GUIDE;BACKUP-SPRING-FIXED-SEAT;BACKUP-SPRING-MOVING-SEAT,353.250000,540.276363,457.767048,-125.000000,NONE,RETAINED/REPLACED,MASS_WEIGHTED_EXACT_OCCURRENCE_CENTROID,Moving/fixed seat sense retained; guide and spring trail aft
EXTERNAL BUOY CO2 CARTRIDGE,NOT PRESENT,N/A,N/A,N/A,BUOY-CO2-CARTRIDGE-81121,1384.000000,1467.000000,1424.148449,ADDED,NEW EXTERNAL AFT INSTALLATION,ADDED,MASS_WEIGHTED_EXACT_OCCURRENCE_CENTROID,Single source-supported Leland 81121 cartridge mounted to the buoy inflator
INTERNAL BUOY EJECTOR,DOOR-DETENT-1;DOOR-DETENT-2;DOOR-DETENT-3;DOOR-DETENT-4;GUIDE-RAIL-1-SCREW-AFT;GUIDE-RAIL-1-SCREW-FWD;GUIDE-RAIL-2-SCREW-AFT;GUIDE-RAIL-2-SCREW-FWD;GUIDE-RAIL-3-SCREW-AFT;GUIDE-RAIL-3-SCREW-FWD;LATCH-SUPPORT-BRACKET;WP04-AFT-RAIL-SUPPORT;WP04-EJECTOR-SPRING;WP04-FIXED-SLEEVE;WP04-FIXED-SLEEVE-SCREW-1;WP04-FIXED-SLEEVE-SCREW-2;WP04-FIXED-SLEEVE-SCREW-3;WP04-FOLLOWER-001;WP04-GUIDE-RAIL-1;WP04-GUIDE-RAIL-2;WP04-GUIDE-RAIL-3;WP04-LATCH-001;WP04-LATCH-SCREW-1;WP04-LATCH-SCREW-2;WP04-MOVING-SLEEVE;WP04-MOVING-SLEEVE-SCREW-1;WP04-MOVING-SLEEVE-SCREW-2;WP04-MOVING-SLEEVE-SCREW-3;WP04-REACTION-BULKHEAD;WP04-SEAR-001;WP04-SEAR-CLIP-001;WP05-DOOR-001;WP05-DOOR-LANYARD;WP05-HINGE-CLIP;WP05-HINGE-PIN;WP05-SERVICE-THROAT;WP05-THROAT-SCREW-1;WP05-THROAT-SCREW-2;WP05-THROAT-SCREW-3;WP05-THROAT-SCREW-4;WP05-THROAT-SCREW-5;WP05-THROAT-SCREW-6,1647.000000,2031.000000,1881.595115,NOT PRESENT,N/A,N/A,N/A,REMOVED,REMOVED,REMOVED,MASS_WEIGHTED_EXACT_OCCURRENCE_CENTROID,Internal follower/sleeve/spring/door architecture deleted completely
AFT CLOSURE,AFT-SHELL-001;WP05-SERVICE-THROAT;WP05-DOOR-001;WP05-HINGE-PIN;WP05-HINGE-CLIP;WP05-DOOR-LANYARD;WP05-THROAT-SCREW-1;WP05-THROAT-SCREW-2;WP05-THROAT-SCREW-3;WP05-THROAT-SCREW-4;WP05-THROAT-SCREW-5;WP05-THROAT-SCREW-6,1642.000000,2031.000000,1878.339297,AFT-CLOSURE-RING;AFT-CLOSURE-CAP,1663.400000,1675.400000,1670.721143,-207.618153,REPLACED,RETAINED/REPLACED,MASS_WEIGHTED_EXACT_OCCURRENCE_CENTROID,Source service-throat/ejection closure replaced by shortened ring and cap
