definition,occurrence,legacy_id,function,category,current_axial_range_mm,final_axial_range_mm,current_centroid_z_mm,final_centroid_z_mm,axial_movement_mm,orientation_change,retained_removed_relocated,reason,attachment,service_removal_direction
GS-19-50-V4A-B8-B8,GS19-BODY-001,GS19-BODY-001,arm deployment gas spring,A,540.000000..658.000000,415.000000..533.000000,593.657434,468.864361,-124.793073,UNCHANGED,RETAINED / RELOCATED FORWARD,Aft-trailing powertrain orientation preserves source fixed/moving function,double-shear fixed yoke; moving rod pinned to crosshead,AFT after yoke access
HBD-15-25-AA-P,HBD-BODY-001,HBD-BODY-001,arm deployment hydraulic damper,A,540.000000..647.500000,415.000000..522.500000,589.044636,464.278521,-124.766115,UNCHANGED,RETAINED / RELOCATED FORWARD,Aft-trailing powertrain orientation preserves source fixed/moving function,double-shear fixed yoke; moving rod pinned to crosshead,AFT after yoke access
DF8-R2-BACKUP-SPRING-16N-001,BACKUP-SPRING-001,BACKUP-SPRING-001,arm backup spring,A,515.276363..660.276363,390.276363..535.276363,587.776364,462.776364,-125.000000,UNCHANGED,RETAINED / RELOCATED FORWARD,Aft-trailing powertrain orientation preserves source fixed/moving function,captured moving/fixed seats and guided spring,AFT after termination-ring access
DF8-R2-BACKUP-SPRING-GUIDE-001,BACKUP-SPRING-GUIDE,BACKUP-SPRING-GUIDE,arm backup-spring guide,A,478.250000..665.276363,353.250000..540.276363,573.124127,448.124127,-125.000000,UNCHANGED,RETAINED / RELOCATED FORWARD,Aft-trailing powertrain orientation preserves source fixed/moving function,two retained guide screws and fixed seat,AFT after termination-ring access
LELAND-81121,CO2-CARTRIDGE-1,CO2-CARTRIDGE-1,dedicated internal buoy inflation cartridge,B,348.000000..431.000000,N/A,388.148449,N/A,REMOVED,REMOVED,REMOVED,Internal buoy architecture removed completely,source cartridge carrier/puncture head,N/A — removed
LELAND-81121,CO2-CARTRIDGE-2,CO2-CARTRIDGE-2,dedicated internal buoy inflation cartridge,B,348.000000..431.000000,N/A,388.148449,N/A,REMOVED,REMOVED,REMOVED,Internal buoy architecture removed completely,source cartridge carrier/puncture head,N/A — removed
LELAND-81121,CO2-CARTRIDGE-3,CO2-CARTRIDGE-3,dedicated internal buoy inflation cartridge,B,348.000000..431.000000,N/A,388.148449,N/A,REMOVED,REMOVED,REMOVED,Internal buoy architecture removed completely,source cartridge carrier/puncture head,N/A — removed
LELAND-81121,CO2-CARTRIDGE-4,CO2-CARTRIDGE-4,dedicated internal buoy inflation cartridge,B,348.000000..431.000000,N/A,388.148449,N/A,REMOVED,REMOVED,REMOVED,Internal buoy architecture removed completely,source cartridge carrier/puncture head,N/A — removed
DF8-R2-BOOSTER-RESERVOIR-001,BOOSTER-1,BOOSTER-1,dedicated internal buoy booster reservoir,B,950.000000..1380.000000,N/A,1165.000000,N/A,REMOVED,REMOVED,REMOVED,Internal buoy architecture removed completely,source captive support bands and pressure closures,N/A — removed
DF8-R2-BOOSTER-RESERVOIR-001,BOOSTER-2,BOOSTER-2,dedicated internal buoy booster reservoir,B,950.000000..1380.000000,N/A,1165.000000,N/A,REMOVED,REMOVED,REMOVED,Internal buoy architecture removed completely,source captive support bands and pressure closures,N/A — removed
DF8-R2-BOOSTER-RESERVOIR-001,BOOSTER-3,BOOSTER-3,dedicated internal buoy booster reservoir,B,950.000000..1380.000000,N/A,1165.000000,N/A,REMOVED,REMOVED,REMOVED,Internal buoy architecture removed completely,source captive support bands and pressure closures,N/A — removed
LELAND-81121,BUOY-CO2-CARTRIDGE-81121,NEW,new external buoy-mounted inflation cartridge,C,N/A,1384.000000..1467.000000,N/A,1424.148449,ADDED,NEW EXTERNAL INSTALLATION,NEW EXTERNAL AFT INSTALLATION,External buoy inflation hardware is aft of the arm carrier and outside the ballast-to-carrier interval,threaded to Hydro 1F commercial interface,AFT / OUTWARD from open repack access
HALKEY-ROBERTS-HYDRO-1F-V95000XXB_PROXY,HYDRO-1F-INFLATOR-PROXY,NEW,new external automatic/manual buoy inflator,C,N/A,1465.000000..1512.000000,N/A,1488.280092,ADDED,NEW EXTERNAL INSTALLATION,NEW EXTERNAL AFT INSTALLATION,External buoy inflation hardware is aft of the arm carrier and outside the ballast-to-carrier interval,threaded to buoy inlet reinforcement manifold,RADIAL OUTWARD after guard removal
