occurrence_id,definition,description,parent_path,classification,material,make_buy,manufacturer,cad_classification,mass_kg,z_min_mm,z_max_mm,maximum_radial_bbox_corner_mm,source_or_proxy_status
BUOY-CO2-CARTRIDGE-81121,LELAND-81121,LELAND 81121 12 G CO2 CARTRIDGE,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/530_BUOY_MOUNTED_INFLATION_ASSY,CONSUMED,Steel pressure cartridge,BUY,Leland Gas Technologies,DRAWING_DERIVED,0.045000,1384.000000,1467.000000,66.988050,DRAWING_DERIVED
BUOY-INLET-MANIFOLD,DF8-SHORT14-BUOY-INLET-MANIFOLD-001,BUOY-MOUNTED INLET MANIFOLD WITH INFLATOR THREAD INTERFACE,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/530_BUOY_MOUNTED_INFLATION_ASSY,MOVING,316 stainless steel,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.004987,1482.800000,1493.200000,55.245271,EXACT_ANALYTIC
BUOY-INLET-PATCH,DF8-SHORT14-BUOY-INLET-REINFORCEMENT-PATCH-001,BUOY INLET RF-WELDED REINFORCEMENT PATCH,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/530_BUOY_MOUNTED_INFLATION_ASSY,SOFTGOOD,TPU-coated nylon laminate,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.026000,1453.000000,1523.000000,54.040355,EXACT_ANALYTIC
CORDURA-CRADLE-LEFT,DF8-SHORT14-CORDURA-CRADLE-LEFT-001,AFT BUOY BREAKAWAY WRAP CORDURA CRADLE LEFT PANEL WITH DRAINAGE GAPS,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,SOFTGOOD,1000D Cordura nylon with polyurethane coating,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.057500,1368.000000,1606.000000,63.329453,EXACT_ANALYTIC
CORDURA-CRADLE-RIGHT,DF8-SHORT14-CORDURA-CRADLE-RIGHT-001,AFT BUOY BREAKAWAY WRAP CORDURA CRADLE RIGHT PANEL WITH DRAINAGE GAPS,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,SOFTGOOD,1000D Cordura nylon with polyurethane coating,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.057500,1368.000000,1606.000000,63.329453,EXACT_ANALYTIC
CORDURA-FLAP-LEFT,DF8-SHORT14-CORDURA-BREAKAWAY-FLAP-LEFT-001,CORDURA PEEL-OPEN BREAKAWAY FLAP LEFT,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,SOFTGOOD,1000D Cordura nylon with polyurethane coating,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.065000,1368.000000,1606.000000,66.245773,EXACT_ANALYTIC
CORDURA-FLAP-RIGHT,DF8-SHORT14-CORDURA-BREAKAWAY-FLAP-RIGHT-001,CORDURA PEEL-OPEN BREAKAWAY FLAP RIGHT,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,SOFTGOOD,1000D Cordura nylon with polyurethane coating,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.065000,1368.000000,1606.000000,68.280865,EXACT_ANALYTIC
EXT-BUOY-PANEL-01,DF8-SHORT14-BUOY-PANEL-01,60 L BUOY PANEL 01 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,SOFTGOOD,TPU-coated nylon,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.023750,1387.000000,1587.000000,47.075037,EXACT_ANALYTIC
EXT-BUOY-PANEL-02,DF8-SHORT14-BUOY-PANEL-02,60 L BUOY PANEL 02 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,SOFTGOOD,TPU-coated nylon,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.023750,1387.000000,1587.000000,57.323811,EXACT_ANALYTIC
EXT-BUOY-PANEL-03,DF8-SHORT14-BUOY-PANEL-03,60 L BUOY PANEL 03 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,SOFTGOOD,TPU-coated nylon,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.023750,1387.000000,1587.000000,47.075037,EXACT_ANALYTIC
