angle_deg,full_sweep_pair_row_count,full_sweep_broadphase_candidate_count,full_sweep_unauthorized_rigid_interference_count,full_sweep_documented_positive_volume_count,full_sweep_blocked_boolean_count,five_angle_gate_member,five_angle_pair_row_count,five_angle_unauthorized_rigid_interference_count,five_angle_blocked_boolean_count,track_validation_error_count,disposition
0,8607,284,0,11,0,YES,8607,0,0,0,PASS
1,8607,277,0,11,0,NO,,,,0,PASS
2,8607,285,0,11,0,NO,,,,0,PASS
3,8607,282,0,11,0,NO,,,,0,PASS
4,8607,283,0,11,0,NO,,,,0,PASS
5,8607,286,0,11,0,NO,,,,0,PASS
6,8607,286,0,11,0,NO,,,,0,PASS
7,8607,287,0,11,0,NO,,,,0,PASS
8,8607,288,0,11,0,NO,,,,0,PASS
9,8607,289,0,11,0,NO,,,,0,PASS
10,8607,283,0,11,0,NO,,,,0,PASS
11,8607,288,0,11,0,NO,,,,0,PASS
12,8607,294,0,11,0,NO,,,,0,PASS
13,8607,294,0,11,0,NO,,,,0,PASS
14,8607,303,0,11,0,NO,,,,0,PASS
15,8607,306,0,11,0,NO,,,,0,PASS
16,8607,305,0,11,0,NO,,,,0,PASS
17,8607,305,0,11,0,NO,,,,0,PASS
18,8607,304,0,11,0,NO,,,,0,PASS
19,8607,303,0,11,0,NO,,,,0,PASS
20,8607,303,0,11,0,YES,8607,0,0,0,PASS
21,8607,305,0,11,0,NO,,,,0,PASS
22,8607,305,0,11,0,NO,,,,0,PASS
23,8607,302,0,11,0,NO,,,,0,PASS
24,8607,302,0,11,0,NO,,,,0,PASS
25,8607,300,0,11,0,NO,,,,0,PASS
26,8607,299,0,11,0,NO,,,,0,PASS
27,8607,299,0,11,0,NO,,,,0,PASS
28,8607,299,0,11,0,NO,,,,0,PASS
29,8607,301,0,11,0,NO,,,,0,PASS
30,8607,301,0,11,0,NO,,,,0,PASS
31,8607,303,0,11,0,NO,,,,0,PASS
32,8607,302,0,11,0,NO,,,,0,PASS
33,8607,301,0,11,0,NO,,,,0,PASS
34,8607,303,0,11,0,NO,,,,0,PASS
35,8607,303,0,11,0,NO,,,,0,PASS
36,8607,305,0,11,0,NO,,,,0,PASS
37,8607,305,0,11,0,NO,,,,0,PASS
38,8607,308,0,11,0,NO,,,,0,PASS
39,8607,309,0,11,0,NO,,,,0,PASS
40,8607,310,0,11,0,YES,8607,0,0,0,PASS
41,8607,316,0,11,0,NO,,,,0,PASS
42,8607,318,0,11,0,NO,,,,0,PASS
43,8607,318,0,11,0,NO,,,,0,PASS
44,8607,319,0,11,0,NO,,,,0,PASS
45,8607,325,0,11,0,NO,,,,0,PASS
46,8607,327,0,11,0,NO,,,,0,PASS
47,8607,327,0,11,0,NO,,,,0,PASS
48,8607,327,0,11,0,NO,,,,0,PASS
49,8607,324,0,11,0,NO,,,,0,PASS
50,8607,323,0,11,0,NO,,,,0,PASS
51,8607,324,0,11,0,NO,,,,0,PASS
52,8607,325,0,11,0,NO,,,,0,PASS
53,8607,327,0,11,0,NO,,,,0,PASS
54,8607,332,0,11,0,NO,,,,0,PASS
55,8607,338,0,11,0,YES,8607,0,0,0,PASS
56,8607,343,0,11,0,NO,,,,0,PASS
57,8607,343,0,11,0,NO,,,,0,PASS
58,8607,343,0,11,0,NO,,,,0,PASS
59,8607,344,0,11,0,NO,,,,0,PASS
60,8607,345,0,11,0,NO,,,,0,PASS
61,8607,343,0,11,0,NO,,,,0,PASS
62,8607,340,0,11,0,NO,,,,0,PASS
63,8607,341,0,11,0,NO,,,,0,PASS
64,8607,341,0,11,0,NO,,,,0,PASS
65,8607,338,0,11,0,NO,,,,0,PASS
66,8607,338,0,11,0,NO,,,,0,PASS
67,8607,339,0,11,0,NO,,,,0,PASS
68,8607,337,0,11,0,NO,,,,0,PASS
69,8607,335,0,11,0,NO,,,,0,PASS
70,8607,326,0,11,0,NO,,,,0,PASS
71,8607,327,0,11,0,NO,,,,0,PASS
72,8607,324,0,11,0,NO,,,,0,PASS
73,8607,328,0,11,0,NO,,,,0,PASS
74,8607,331,0,11,0,NO,,,,0,PASS
75,8607,332,0,11,0,NO,,,,0,PASS
76,8607,338,0,11,0,NO,,,,0,PASS
77,8607,337,0,11,0,NO,,,,0,PASS
78,8607,332,0,11,0,NO,,,,0,PASS
79,8607,325,0,11,0,NO,,,,0,PASS
80,8607,331,0,11,0,YES,8607,0,0,0,PASS
